Date	Venue	Score	Result	Competition
3 July 1998	Nantes , France	1–0	2–3	1998 FIFA World Cup
8 September 1999	Napoli , Italy	1–2	3–2	UEFA Euro 2000 Qual.
13 November 1999	Tel Aviv , Israel	4–0	5–0	UEFA Euro 2000 Qual.
10 November 2001	Copenhagen , Denmark	1–1	1–1	Friendly match
11 October 2003	Sarajevo , Bosnia and Herzegovina	1–0	1–1	UEFA Euro 2004 Qual.
16 November 2003	Manchester , England	1–1	3–2	Friendly match
16 November 2003	Manchester , England	2–2	3–2	Friendly match
18 February 2004	Adana , Turkey	1–0	1–0	Friendly match
4 September 2004	Copenhagen , Denmark	1–0	1–1	2006 FIFA World Cup Qual.
9 October 2004	Tirana , Albania	1–0	2–0	2006 FIFA World Cup Qual.
8 June 2005	Copenhagen , Denmark	3–0	3–1	2006 FIFA World Cup Qual.
1 September 2006	Brøndby , Denmark	3–2	4–2	Friendly match
