Title	Director	Producer	Production Cost	Singapore Gross
1991	1991	1991	1991	1991
Medium Rare	Arthur Smith	Derrol Stepenny Productions	$2,000,000	$130,000
1995	1995	1995	1995	1995
Mee Pok Man	Eric Khoo	Zhao Wei Films	$100,000	$450,000
1996	1996	1996	1996	1996
Army Daze	Ong Keng Sen	Cathay Asia Films	$700,000	$1,600,000
Bugis Street	Yon Fan	Jaytex Productions	$2,000,000	$1,000,000
1997	1997	1997	1997	1997
A Road Less Travelled	Lim Suat Yen	Oak 3 Films	$320,000	$29,000
God or Dog	Hugo Ng	L S Entertainment	$1,100,000	$497,000
12 Storeys	Eric Khoo	Zhao Wei Films	$280,000	$650,000
1998	1998	1998	1998	1998
Forever Fever	Glen Goei	Tiger Tiger Productions / ChinaRunn	$1,500,000	$800,000
Money No Enough (钱不够用)	Tay Teck Lock	JSP Films	$800,000	$5,800,000
Tiger's Whip	Victor Khoo	River Films	$1,000,000	$60,000
The Teenage Textbook Movie	Philip Lim	Monster Films	$500,000	$680,000
