Rd #	Pick #	Player	Team (League)	Reg GP	Pl GP
1	7	Alex Stojanov	Hamilton Dukes ( OHL )	62	5
2	29	Jassen Cullimore	Peterborough Petes ( OHL )	84	11
3	51	Sean Pronger	Bowling Green State University ( NCAA )	3	0
5	95	Dan Kesa	Prince Albert Raiders ( WHL )	19	0
6	117	Evgeny Namestnikov	HC CSKA Moscow ( Rus )	35	2
7	139	Brent Thurston	Spokane Chiefs ( WHL )	0	0
8	161	Eric Johnson	Plymouth Armstrong High School ( USHS-MN )	0	0
9	183	David Neilson	Prince Albert Raiders ( WHL )	0	0
10	205	Brad Barton	Kitchener Rangers ( OHL )	0	0
11	227	Jason Fitzsimmons	Moose Jaw Warriors ( WHL )	0	0
12	249	Xavier Majic	Rensselaer Polytechnic Institute ( NCAA )	0	0
