Player	Position	Date of Birth (Age)	Caps	Club/province
Pieter de Villiers	Prop	3 July 1972	64	Stade Français
Nicolas Mas	Prop	25 May 1980	10	Perpignan
Olivier Milloud	Prop	9 December 1975	45	Bourgoin
Jean-Baptiste Poux	Prop	26 September 1979	14	Toulouse
Sébastien Bruno	Hooker	26 August 1974	22	Sale
Raphaël Ibañez ( c )	Hooker	17 February 1973	92	Wasps
Dimitri Szarzewski	Hooker	26 January 1983	16	Stade Français
Sébastien Chabal	Lock	8 December 1977	31	Sale
Lionel Nallet	Lock	14 September 1976	28	Castres
Fabien Pelous	Lock	7 December 1973	113	Toulouse
Jérôme Thion	Lock	2 December 1977	36	Biarritz
Serge Betsen ( vc )	Flanker	25 March 1974	58	Biarritz
Thierry Dusautoir	Flanker	18 November 1981	5	Toulouse
Rémy Martin	Flanker	10 August 1979	18	Stade Français
Yannick Nyanga	Flanker	19 December 1983	21	Toulouse
Julien Bonnaire	Number 8	20 September 1978	31	Bourgoin
Imanol Harinordoquy	Number 8	20 February 1980	41	Biarritz
Jean-Baptiste Élissalde ( vc )	Scrum-half	23 November 1977	23	Toulouse
Pierre Mignoni	Scrum-half	28 February 1977	25	Clermont
Lionel Beauxis	Fly-half	24 October 1985	6	Stade Français
Frédéric Michalak	Fly-half	16 October 1982	44	Toulouse
David Skrela	Fly-half	2 March 1979	8	Stade Français
Yannick Jauzion	Centre	28 July 1978	44	Toulouse
David Marty	Centre	30 October 1982	13	Perpignan
Damien Traille	Centre	12 June 1979	53	Biarritz
Vincent Clerc	Wing	7 May 1981	22	Toulouse
Christophe Dominici	Wing	20 May 1972	62	Stade Français
Cédric Heymans	Wing	20 July 1978	32	Toulouse
Aurélien Rougerie	Wing	26 September 1980	46	Clermont
Clément Poitrenaud	Fullback	20 May 1982	28	Toulouse
