Outcome	Year	Championship	Surface	Opponent in the final	Score in the final
Runner-up	1981	French Open	Clay	Björn Borg	1–6, 6–4, 2–6, 6–3, 1–6
Runner-up	1982	US Open	Hard	Jimmy Connors	3–6, 2–6, 6–4, 4–6
Runner-up	1983	US Open	Hard	Jimmy Connors	3–6, 7–6 (7-2) , 5–7, 0–6
Runner-up	1983	Australian Open	Grass	Mats Wilander	1–6, 4–6, 4–6
Winner	1984	French Open	Clay	John McEnroe	3–6, 2–6, 6–4, 7–5, 7–5
Runner-up	1984	US Open	Hard	John McEnroe	3–6, 4–6, 1–6
Runner-up	1985	French Open	Clay	Mats Wilander	6–3, 4–6, 2–6, 2–6
Winner	1985	US Open	Hard	John McEnroe	7–6 (7-1) , 6–3, 6–4
Winner	1986	French Open (2)	Clay	Mikael Pernfors	6–3, 6–2, 6–4
Runner-up	1986	Wimbledon	Grass	Boris Becker	4–6, 3–6, 5–7
Winner	1986	US Open (2)	Hard	Miloslav Mečíř	6–4, 6–2, 6–0
Winner	1987	French Open (3)	Clay	Mats Wilander	7–5, 6–2, 3–6, 7–6 (7-3)
Runner-up	1987	Wimbledon	Grass	Pat Cash	6–7 (5-7) , 2–6, 5–7
Winner	1987	US Open (3)	Hard	Mats Wilander	6–7 (7-9) , 6–0, 7–6 (7-4) , 6–4
Runner-up	1988	US Open	Hard	Mats Wilander	4–6, 6–4, 3–6, 7–5, 4–6
Winner	1989	Australian Open	Hard	Miloslav Mečíř	6–2, 6–2, 6–2
Runner-up	1989	US Open	Hard	Boris Becker	6–7 ( 2-7) , 6–1, 3–6, 6–7 (4-7)
Winner	1990	Australian Open (2)	Hard	Stefan Edberg	4–6, 7–6 (7-3) , 5–2 retired
