Game	October	Opponent	Score	Record	Points
1	5	Florida Panthers	1–3	0–1–0	0
2	7	New Jersey Devils	3–1	1–1–0	2
3	10	Los Angeles Kings	5–4 OT	2–1–0	4
4	12	@ New York Islanders	1–5	2–2–0	4
5	13	Calgary Flames	0–1	2–3–0	4
6	15	@ Los Angeles Kings	2–3	2–4–0	4
7	16	@ Mighty Ducks of Anaheim	4–3	3–4–0	6
8	18	@ Phoenix Coyotes	3–1	4–4–0	8
9	22	Mighty Ducks of Anaheim	3–0	5–4–0	10
10	26	@ Montreal Canadiens	5–6	5–5–0	10
11	27	Florida Panthers	2–3	5–6–0	10
12	30	@ Washington Capitals	2–4	5–7–0	10
13	31	@ Tampa Bay Lightning	4–3	6–7–0	12
