Year	Competition	Venue	Position	Event
1999	World Cross Country Championships	Belfast , Northern Ireland	5th	Long race
1999	World Cross Country Championships	Belfast , Northern Ireland	1st	Team race
2001	World Half Marathon Championships	Bristol , United Kingdom	6th	Half marathon
2001	World Half Marathon Championships	Bristol , United Kingdom	2nd	Team race
2003	Chicago Marathon	Chicago , United States	1st	Marathon
2004	London Marathon	London , United Kingdom	1st	Marathon
2004	Chicago Marathon	Chicago , United States	1st	Marathon
2005	London Marathon	London , United Kingdom	10th	Marathon
2005	Chicago Marathon	Chicago , United States	4th	Marathon
2006	London Marathon	London , United Kingdom	10th	Marathon
