School	Location	Mascot	County	Year Joined	Year Left	Conference Joined
Clay City *	Clay City	Eels	11 Clay	1964	2010	SW Indiana
Montezuma	Montezuma	Aztecs	61 Parke	1964	1986	none (consolidated into Riverton Parke )
Rosedale	Rosedale	Hotshots	61 Parke	1964	1986	none (consolidated into Riverton Parke )
Shakamak *	Jasonville	Lakers	28 Greene	1964	2010	SW Indiana
Stauton	Staunton	Yellow Jackets	11 Clay	1964	1984	none (consolidated into Northview )
Terre Haute Schulte *	Terre Haute	Golden Bears	84 Vigo	1964	1971?	Western Indiana
Terre Haute State	Terre Haute	Little Sycamores	84 Vigo	1964	1978	none (school closed)
Van Buren	Carbon	Blue Devils	11 Clay	1964	1984	none (consolidated into Northview )
Union (Dugger) *	Dugger	Bulldogs	77 Sullivan	1965	2010	SW Indiana
North Central (Farmersburg)	Farmersburg	Thunderbirds	77 Sullivan	1977	2010	SW Indiana
Eminence	Eminence	Eels	55 Morgan	1986	2010	Independents
Sullivan	Sullivan	Golden Arrows	77 Sullivan	1986	1999	Western Indiana
Linton Stockton *	Linton	Miners	28 Greene	1991	2010	SW Indiana
