Year	Class	Team	Points	Wins
1961	500cc	Norton	3	0
1962	350cc	Norton	0	0
1962	500cc	Norton	0	0
1963	350cc	Norton	0	0
1963	500cc	Matchless	1	0
1964	125cc	Bultaco	0	0
1964	350cc	Norton	0	0
1964	500cc	Matchless	7	0
1965	250cc	Bultaco	0	0
1965	350cc	AJS	0	0
1965	500cc	Matchless	2	0
1966	250cc	Bultaco	8	0
1966	500cc	Matchless	13	0
1967	250cc	Bultaco	8	0
1967	500cc	Matchless	7	0
1968	250cc	Bultaco	1	0
1968	500cc	Matchless	10	0
1969	250cc	Yamaha	2	0
1969	500cc	Linto	47	0
1970	250cc	Yamaha	28	0
1970	500cc	Kawasaki	18	0
1971	250cc	Yamaha	57	1
1972	250cc	Yamaha	0	0
1973	350cc	Yamaha	12	0
1973	500cc	Yamaha	4	0
1974	250cc	Yamaha	0	0
1975	250cc	Yamaha	0	0
1975	350cc	Yamaha	0	0
