Season	Champion	Constructor	Teams' Champion	Secondary Class	Nations Cup	Winter Series Champion
1976	David Kennedy	Van Diemen	Not Held	Not Held	Not Held	Not Held
1977	Trevor van Rooyen	Royale	Not Held	Not Held	Not Held	Not Held
1978	Kenneth Acheson	Royale	Not Held	Not Held	Not Held	Not Held
1979	David Sears	Royale	Not Held	Not Held	Not Held	Not Held
1980	Tommy Byrne	Van Diemen	Not Held	Not Held	Not Held	Not Held
1981	Ayrton Senna	Van Diemen	Not Held	Not Held	Not Held	Not Held
1982	Mauricio Gugelmin	Van Diemen	Not Held	Not Held	Not Held	Not Held
1983	Andrew Gilbert-Scott	Van Diemen	Not Held	Not Held	Not Held	Not Held
1984	Dave Coyne	Van Diemen	Not Held	Not Held	Not Held	Not Held
1985	Bertrand Gachot	Van Diemen	Not Held	Not Held	Not Held	Not Held
1986	Jason Eliott	Van Diemen	Not Held	Not Held	Not Held	Not Held
1987	Eddie Irvine	Van Diemen	Not Held	Not Held	Not Held	Not Held
1988	Derek Higgins	Van Diemen	Not Held	Not Held	Not Held	Not Held
1989	Bernard Dolan	Reynard	Not Held	Not Held	Not Held	Not Held
1990	Michael Vergers	Van Diemen	Not Held	Not Held	Not Held	Not Held
1991	Marc Goossens	Van Diemen	Not Held	Not Held	Not Held	Not Held
1992	Jamie Spence	Swift	Not Held	Not Held	Not Held	Winter Series Champion
1993	Russell Ingall	Van Diemen	Not Held	Not Held	Not Held	Martin Byford
1994	Jason Watt	Vector	Not Held	Not Held	Not Held	Narain Karthikeyan
1995	Bas Leinders	Swift	Not Held	Not Held	Not Held	Vitor Meira
1996	Kristian Kolby	Van Diemen	Not Held	Not Held	Not Held	Ricardo Sperafico
1997	Jacky van der Ende	Van Diemen	Not Held	Not Held	Not Held	Mark Taylor
1998	Jenson Button	Mygale	Not Held	Not Held	Not Held	Ricardo van der Ende
1999	Nicolas Kiesa	Mygale	Not Held	Not Held	Not Held	Anthony Davidson
2000	Robert Dahlgren	Van Diemen	Not Held	Not Held	Not Held	Adam Carroll
2001	James Courtney	Van Diemen	Not Held	Not Held	Not Held	Joey Foster
2002	Westley Barber	Van Diemen	Not Held	Not Held	Not Held	Alx Danielsson
2003	Tom Kimber-Smith	Van Diemen	Not Held	Not Held	Not Held	Sebastian Hohenthal
2004	Valle Mäkelä	Van Diemen	Not Held	Not Held	Not Held	Robert Sunderland
2005	Charlie Donnelly	Mygale	Not Held	Not Held	Not Held	Andrew Bentley
2006	Nathan Freke	Mygale	Not Held	Not Held	Not Held	David Mayes
Season	Champion	Constructor	Teams' Champion	Scholarship Class	Nations Cup	Winter Series Champion
2007	Callum MacLeod	Mygale	Not Held	Matt Dobson	Not Held	Not Held
2008	Wayne Boyd	Mygale	Not Held	Chrissy Palmer	Not Held	Not Held
2009	James Cole	Mygale	Not Held	Daniel Cammish	Not Held	Not Held
2010	Scott Pye	Mygale	Jamun Racing	Tristan Mingay	Australia	Not Held
2011	Scott Malvern	Mygale	Jamun Racing	Cavan Corcoran	Australia	Not Held
Season	Champion	Constructor	Teams' Champion	Duratec Champion	Nations Cup	Winter Series Champion
2012	Antti Buri	Mygale	JTR	Matt Rao	Finland	Not Held
2013	Dan Cammish	Mygale	TBA	TBA	TBA	Not Held
