Name	Years	Gender	Area	Authority	Decile	Roll
Arowhenua Maori School	1–8	Coed	Arowhenua	State	4	24
Barton Rural School	1–8	Coed	Timaru District	State	8	140
Beaconsfield School	1–8	Coed	Timaru District	State	8	120
Bluestone School	1–8	Coed	Timaru	State	5	548
Craighead Diocesan School	7–13	Girls	Timaru	State integrated	9	372
Geraldine High School	7–13	Coed	Geraldine	State	8	578
Geraldine Primary School	1–6	Coed	Geraldine	State	8	323
Gleniti School	1–8	Coed	Timaru	State	10	306
Grantlea Downs School	1–8	Coed	Timaru	State	4	385
Highfield School	1–8	Coed	Timaru	State	7	283
Mountainview High School	9–13	Coed	Timaru	State	6	559
Oceanview Heights School	1–8	Coed	Timaru	State	2	80
Opihi College	7–13	Coed	Temuka	State	5	290
Pleasant Point Primary School	1–8	Coed	Pleasant Point	State	8	265
Roncalli College	9–13	Coed	Timaru	State integrated	6	537
Sacred Heart School	1–8	Coed	Timaru	State integrated	5	180
St Joseph's School (Pleasant Point)	1–8	Coed	Pleasant Point	State integrated	7	72
St Joseph's School (Temuka)	1–8	Coed	Temuka	State integrated	5	93
St Joseph's School (Timaru)	1–8	Coed	Timaru	State integrated	7	189
Temuka Primary School	1–6	Coed	Temuka	State	5	243
Timaru Boys' High School	9–13	Boys	Timaru	State	7	701
Timaru Christian School	1–8	Coed	Timaru	State integrated	6	90
Timaru Girls' High School	9–13	Girls	Timaru	State	5	409
Timaru South School	1–8	Coed	Timaru	State	3	228
Waihi School	4–8	Boys	Winchester	Private	9	95
Waimataitai School	1–8	Coed	Timaru	State	7	389
Winchester Rural School	1–6	Coed	Winchester	State	5	244
Woodbury School	1–6	Coed	Timaru	State	9	57
