Tie no	Home team	Score	Away team	Attendance
1	Colchester United	0 – 1	Leyton Orient	4,600
2	Havant & Waterlooville	1 – 3	Brentford	1,631
3	Blyth Spartans	3 – 1	Shrewsbury Town	2,742
4	Sutton United	0 – 1	Notts County	2,041
5	Torquay United	2 – 0	Evesham United	2,275
6	Oxford United	0 – 0	Dorchester Town	3,196
replay	Dorchester Town	1 – 3†	Oxford United	1,474
7	Bury	0 – 1	Gillingham	2,161
8	AFC Wimbledon	1 – 4	Wycombe Wanderers	4,528
9	Chester City	0 – 3	Millwall	1,932
10	Carlisle United	1 – 1	Grays Athletic	3,921
replay‡	Grays Athletic	0 – 2	Carlisle United	1,217
11	Team Bath	0 – 1	Forest Green Rovers	906
12	Eastbourne Borough	0 – 0	Barrow	1,216
replay	Barrow	4 – 0	Eastbourne Borough	2,131
13	AFC Hornchurch	0 – 1	Peterborough United	3,000
14	Yeovil Town	1 – 1	Stockport County	3,582
replay	Stockport County	5 – 0	Yeovil Town	3,260
15	Leiston	0 – 0	Fleetwood Town	1,250
replay	Fleetwood Town	2 – 0	Leiston	2,010
16	Accrington Stanley	0 – 0	Tranmere Rovers	2,126
replay	Tranmere Rovers	1 – 0	Accrington Stanley	2,560
17	Walsall	1 – 3	Scunthorpe United	2,318
18	AFC Bournemouth	1 – 0	Bristol Rovers	3,935
19	Brighton & Hove Albion	3 – 3	Hartlepool United	2,545
replay	Hartlepool United	2 – 1	Brighton & Hove Albion	3,288
20	Aldershot Town	1 – 1	Rotherham United	2,632
replay	Rotherham United	0 – 3	Aldershot Town	2,431
