District	Vacator	Reason for change	Successor	Date successor seated
New York 7th	Vacant	Rep. John J. Delaney died during previous congress	Louis B. Heller (D)	February 15, 1949
New York 20th	Sol Bloom (D)	Died March 7, 1949	Franklin Delano Roosevelt, Jr. (Lib)	May 17, 1949
New York 10th	Andrew L. Somers (D)	Died April 6, 1949	Edna F. Kelly (D)	November 8, 1949
Pennsylvania 26th	Robert L. Coffey (D)	Died April 20, 1949	John P. Saylor (R)	September 13, 1949
California 5th	Richard J. Welch (R)	Died September 10, 1949	John Shelley (D)	November 8, 1949
Massachusetts 6th	George J. Bates (R)	Died November 1, 1949	William H. Bates (R)	February 14, 1950
Illinois 5th	Martin Gorski (D)	Died December 4, 1949	Vacant	Not filled for the remainder of this term
Virginia 1st	S. Otis Bland (D)	Died February 16, 1950	Edward J. Robeson, Jr. (D)	May 2, 1950
Illinois 13th	Ralph E. Church (R)	Died March 21, 1950	Vacant	Not filled for the remainder of this term
Michigan 16th	John Lesinski, Sr. (D)	Died May 27, 1950	Vacant	Not filled for the remainder of this term
North Dakota At-large	William Lemke (R)	Died May 30, 1950	Vacant	Not filled for the remainder of this term
North Carolina 11th	Alfred L. Bulwinkle (D)	Died August 31, 1950	Woodrow W. Jones (D)	November 7, 1950
