Team	Outgoing manager	Date of vacancy	Replaced by	Date of appointment
VfR Aalen	Edgar Schmitt	27 August 2008	Jürgen Kohler	28 August 2008
FC Carl Zeiss Jena	Henning Bürger	14 September 2008	René van Eck	22 September 2008
Stuttgarter Kickers	Stefan Minkwitz	21 September 2008	Edgar Schmitt	21 September 2008
VfR Aalen	Jürgen Kohler	15 November 2008	Petrik Sander	21 November 2008
SSV Jahn Regensburg	Thomas Kristl	24 November 2008	Markus Weinzierl	24 November 2008
Wuppertaler SV Borussia	Christoph John	22 December 2008	Uwe Fuchs	23 December 2008
FC Carl Zeiss Jena	René van Eck	23 March 2009	Marc Fascher	23 March 2009
Stuttgarter Kickers	Edgar Schmitt	14 April 2009	Rainer Kraft	14 April 2009
SV Wacker Burghausen	Günter Güttler	15 April 2009	Ralf Santelli (interim)	15 April 2009
FC Bayern Munich II	Hermann Gerland	27 April 2009	Mehmet Scholl (interim)	27 April 2009
FC Rot-Weiß Erfurt	Karsten Baumann	28 April 2009	Henri Fuchs (interim)	28 April 2009
VfR Aalen	Petrik Sander	5 May 2009	Rainer Scharinger	6 May 2009
SC Paderborn 07	Pavel Dotchev	13 May 2009	André Schubert	13 May 2009
