Nat.	Name	Since	Goals	Ends
GER	Neuer	2005	0	2012
GER	Fährmann	2006	0	2009
GER	Schober	2007	0	2011
MAR	Amsif	2008	0	2010
GER	Westermann	2007	4	2011
BRA	Bordon ( captain )	2004	12	2011
BRA	Rafinha	2005	4	2011
SER	Krstajić	2004	6	2009
GER	Höwedes	2007	0	2010
GER	Pander	2004	4	2011
PER	Zambrano	2008	0	2012
GEO	Kobiashvili	2003	8	2010
GER	Streit	2008 (Winter)	0	2012
URU	Varela	2002	8	2009
GER	Ernst	2005	1	2010
CRO	Rakitić	2007	3	2011
GER	Jones	2007	1	2011
BRA	Zé Roberto	2008 (Winter)	1	2011
URU	Grossmüller	2007	1	2011
GER	Heppke	2006	0	2009
GEO	Kenia	2008	0	2012
NED	Engelaar	2008	0	2011
DEN	Løvenkrands	2006	6	2009
GER	Asamoah	1999	41	2011
PER	Farfán	2008	0	2012
TUR	Altıntop	2006	12	2010
GER	Kurányi	2005	40	2010
URU	Sánchez	2008 (Winter)	1	2011
