Series #	Season #	Title	Directed by	Written by	Original air date	Production code
76	1	"Driving Me Crazy"	Tyler Perry	Lamont Ferrell	June4,2008	401
77	2	"Reunited...and It Don't Feel So Good"	Tyler Perry	Kellie R. Griffin	June4,2008	402
78	3	"What the-?"	Tyler Perry	Jenee V. Giles	June4,2008	403
79	4	"Guys' Night Out, Girls' Night In"	Tyler Perry	Jenee V. Giles	June4,2008	404
80	5	"How Do You Spell....It's All About Me?"	Tyler Perry	Christopher J. Moore	June11,2008	405
81	6	"And...Cut!"	Tyler Perry	Joseph Hampton	June11,2008	406
82	7	"Old School vs. New School"	Tyler Perry	T. Smith, III, Joseph Hampton	June18,2008	407
83	8	"Fired and Desire"	Tyler Perry	Michelle L. Johnson	June18,2008	408
84	9	"Unsung Heroes"	Tyler Perry	Steve Coulter, Dee Wagner	June25,2008	409
85	10	"Pissed, Poor and Paranoid"	Tyler Perry	Christopher J. Moore, Teri Jackson	June25,2008	410
86	11	"True Lies"	Tyler Perry	Myra J.	July2,2008	411
87	12	"That Sounds Sweet"	Tyler Perry	Lamont Ferrell	July2,2008	412
88	13	"Meet the Lucases"	Tyler Perry	Joseph Hampton	July9,2008	413
89	14	"Out on a Limb"	Tyler Perry	Christopher J. Moore	July9,2008	414
90	15	"Can't Buy Me Love"	Tyler Perry	Teri Jackson, Anita M. Cal	July16,2008	415
91	16	"To Have and To Hold"	Tyler Perry	Steve Coulter, Dee Wagner, Teri Jackson	July16,2008	416
92	17	"Unexpected Results"	Tyler Perry	Jenee V. Giles	July23,2008	417
93	18	"Let's Get Ready to Rumble"	Tyler Perry	Anita M. Cal, Lamont Ferrell	July23,2008	418
94	19	"Father's Day"	Tyler Perry	Steve Coulter, Dee Wagner	July30,2008	419
95	20	"Whose Wedding Is It Anyway?"	Tyler Perry	Teri Jackson	July30,2008	420
96	21	"All is Not Lost"	Tyler Perry	Kellie R. Griffin	July30,2008	421
97	22	"Party Over Here!"	Tyler Perry	Christopher J. Moore	August6,2008	422
98	23	"The Last Supper"	Tyler Perry	Myra J.	August6,2008	423
99	24	"We've Come This Far by Faith: Part 1"	Tyler Perry	Jenee V. Giles, Kellie R. Griffin	August6,2008	424
