Greek Designation	Collegiate Institution	Charter Date	Status	City	U.S. State/District
Alpha Chapter	SUNY Binghamton	February 20, 1994	Active	Vestal	New York
Beta Chapter	SUNY Buffalo	December 3, 1994	Active	Buffalo	New York
Gamma Chapter	Hofstra University	December 7, 1996	Inactive	Hempstead	New York
Delta Chapter	SUNY Stony Brook	May 17, 1997	Active	Stony Brook	New York
Zeta Chapter	New York University	May 17, 1997	Active	New York	New York
Eta Chapter	SUNY Albany	December 13, 1997	Active	Albany	New York
Theta Chapter	Rensselaer Polytechnic Institute	December 13, 1997	Active	Troy	New York
Iota Chapter	University of Rochester	November 24, 1997	Active	Rochester	New York
Kappa Chapter	Cornell University	April 25, 1998	Active	Ithaca	New York
Lambda Chapter	Rutgers University	November 21, 1998	Active	New Brunswick	New Jersey
Mu Chapter	The Ohio State University	April 22, 2000	Active	Columbus	Ohio
Nu Chapter	Carnegie Mellon University	December 8, 2001	Inactive	Pittsburgh	Pennsylvania
Xi Chapter	University of Massachusetts Amherst	November 24, 1999	Active	Amherst	Massachusetts
Omicron Chapter	The George Washington University	November 15, 2003	Active	Washington	District of Columbia
Pi Chapter	University of Maryland at College Park	November 13, 2004	Inactive	College Park	Maryland
Rho Chapter	University of California, Riverside	March 30, 2002	Active	Riverside	California
Sigma Chapter	University of Florida	November 13, 2004	Active	Gainesville	Florida
Tau Chapter	Pennsylvania State University	April 19, 2003	Active	University Park	Pennsylvania
Upsilon Chapter	Rochester Institute of Technology	November 18, 2006	Active	Henrietta	New York
Phi Chapter	University of Central Florida	April 7, 2008	Active	Orlando	Florida
Chi Chapter	University of South Florida	November 9, 2008	Active	Tampa	Florida
Psi Chapter	Saint John's University	November 8, 2008	Active	Queens	New York
Omega Chapter	University of Connecticut	April 12, 2008	Active	Storrs	Connecticut
Alpha Alpha Chapter	Northeastern University	November 19, 2005	Active	Boston	Massachusetts
Associate Chapter	Columbia University	April 23, 2005	Active	New York	New York
Established Colony	University of Colorado at Boulder	December 6, 2009	Active	Boulder	Colorado
Established Colony	CUNY Baruch	December 5, 2010	Active	New York	New York
Established Colony	University of Minnesota	April 17, 2011	Active	Minneapolis	Minnesota
Established Colony	University of California, Berkeley	December 4, 2011	Active	Berkeley	California
Established Colony	George Mason University	November 17, 2012	Active	Fairfax	Virginia
