Year	Award Ceremony	Category	Nominee	Result
2009	Tony Award	Best Musical	Best Musical	Nominated
2009	Tony Award	Best Book of a Musical	David Lindsay-Abaire	Nominated
2009	Tony Award	Best Original Score	Jeanine Tesori	Nominated
2009	Tony Award	Best Performance by a Leading Actor in a Musical	Brian d'Arcy James	Nominated
2009	Tony Award	Best Performance by a Leading Actress in a Musical	Sutton Foster	Nominated
2009	Tony Award	Best Performance by a Featured Actor in a Musical	Christopher Sieber	Nominated
2009	Tony Award	Best Orchestrations	Danny Troob and John Clancy	Nominated
2009	Tony Award	Best Costume Design	Tim Hatley	Won
2009	Drama Desk Award	Outstanding Musical	Outstanding Musical	Nominated
2009	Drama Desk Award	Outstanding Book of a Musical	David Lindsay-Abaire	Nominated
2009	Drama Desk Award	Outstanding Actor in a Musical	Brian d'Arcy James	Won
2009	Drama Desk Award	Outstanding Actor in a Musical	Daniel Breaker	Nominated
2009	Drama Desk Award	Outstanding Actress in a Musical	Sutton Foster	Nominated
2009	Drama Desk Award	Outstanding Featured Actor in a Musical	Christopher Sieber	Nominated
2009	Drama Desk Award	Outstanding Director of a Musical	Jason Moore	Nominated
2009	Drama Desk Award	Outstanding Music	Jeanine Tesori	Nominated
2009	Drama Desk Award	Outstanding Lyrics	David Lindsay-Abaire	Nominated
2009	Drama Desk Award	Outstanding Orchestrations	Danny Troob	Nominated
2009	Drama Desk Award	Outstanding Set Design	Tim Hatley	Won
2009	Drama Desk Award	Outstanding Costume Design	Tim Hatley	Won
2009	Grammy Award	Best Musical Show Album	Best Musical Show Album	Nominated
