Country / region	Channel	Series premiere	Title in country	Source(s)	Airing?
Australia New Zealand	Disney Channel (Australia)	March 5, 2013	Tron: Uprising	Australian Disney XD TV Listing	Airing
Belgium	Disney XD Belgium	October 10, 2012	Tron la révolte	Disney XD European Tron la révolte Site	Unknown
Canada	Disney XD Canada	June 23, 2012	Tron: Uprising	Canadian Disney XD Tron Uprising Site	Airing
France	Disney XD France	October 10, 2012	Tron la révolte	European Disney XD Tron la révolte Site	Airing
Germany	Disney XD Germany	October 18, 2012	TRON: Der Aufstand	fernsehserien.de	Airing
India	Disney XD (India)	October 14, 2013	Tron: Uprising	Indian Disney XD Site	Airing
Ireland United Kingdom	Disney XD (UK & Ireland)	September 8, 2012	Tron: Uprising	United Kingdom Disney XD Tron Uprising Site	Airing
Malaysia	Disney XD (Malaysia)	November 13, 2012	Tron: Uprising	"Disney XD Di Malaysia!(Disney XD In Malaysia!)"	Not Airing
Mexico	Disney XD Latin America	2013	Tron: La Resistencia	Mexican Disney XD Tron Uprising Site	Airing
Brazil	Disney XD Brazil	2013	Tron: A Resistência	Brazilian Disney XD Site	Not Airing
Poland	Disney XD (Poland)	October 20, 2012	Tron: Uprising/Tron: Rebelia	Polish Disney XD Tron Uprising Site	Not Airing
South Africa	Disney XD South Africa	October 6, 2012	Tron: Uprising	South African Disney XD Tron Uprising Site	Not Airing
Spain	Disney XD Spain	November 1, 2012	Tron: La Resistencia	Spanish Disney XD Tron Uprising Site	Airing
United States	Disney XD	June 7, 2012	Tron: Uprising	American Disney XD Tron Uprising Site	Not Airing
