Rank	Name	Nation	Points	Placings
1	Ondrej Nepela	Czechoslovakia	355.66	10
2	Sergei Chetverukhin	Soviet Union	348.91	17
3	Jan Hoffmann	East Germany	340.55	35
4	John Curry	United Kingdom	338.43	39
5	Toller Cranston	Canada	336.50	54
6	Yuri Ovchinnikov	Soviet Union	334.01	54
7	Gordon McKellen, Jr.	United States	330.84	62
8	Ron Shaver	Canada	330.58	61
9	Jacques Mrozek	France	320.01	91
10	Zdeněk Pazdírek	Czechoslovakia	319.43	95
11	Daniel Höner	Switzerland	319.08	97
12	Robert Bradshaw	United States	316.62	103
13	László Vajda	Hungary	314.77	112
14	Minoru Sano	Japan	308.37	130
15	Erich Reifschneider	West Germany	303.72	144
16	Igor Lisovski	Soviet Union	302.24	147
17	Bernd Wunderlich	East Germany	300.38	148
18	Miroslav Soska	Czechoslovakia	299.99	151
19	Robert Rubens	Canada	295.16	168
20	Gunther Hilgarth	Austria	275.29	187
21	Jacek Tascher	Poland	273.30	191
22	Rolando Bragaglia	Italy	270.19	193
23	Ghorghe Fazekas	Romania	262.23	205
24	Silvo Svajger	Yugoslavia	255.29	214
