Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 3, 1978	San Diego Chargers	L 20-24	Kingdome	0-1	55,778
2	September 10, 1978	at Pittsburgh Steelers	L 10-21	Three Rivers Stadium	0-2	48,277
3	September 17, 1978	at New York Jets	W 24-17	Shea Stadium	1-2	46,911
4	September 24, 1978	Detroit Lions	W 28-16	Kingdome	2-2	60,040
5	October 1, 1978	at Denver Broncos	L 7-28	Mile High Stadium	2-3	74,989
6	October 8, 1978	Minnesota Vikings	W 29-28	Kingdome	3-3	62,031
7	October 15, 1978	at Green Bay Packers	L 28-45	Milwaukee County Stadium	3-4	52,712
8	October 22, 1978	Oakland Raiders	W 27-7	Kingdome	4-4	62,529
9	October 29, 1978	Denver Broncos	L 17-20 OT	Kingdome	4-5	62,948
10	November 5, 1978	at Chicago Bears	W 31-29	Soldier Field	5-5	50,697
11	November 12, 1978	Baltimore Colts	L 14-17	Kingdome	5-6	61,905
12	November 19, 1978	at Kansas City Chiefs	W 13-10	Arrowhead Stadium	6-6	35,252
13	November 26, 1978	at Oakland Raiders	W 17-16	Oakland-Alameda County Coliseum	7-6	52,978
14	December 3, 1978	Cleveland Browns	W 47-24	Kingdome	8-6	62,262
15	December 10, 1978	at San Diego Chargers	L 10-37	San Diego Stadium	8-7	49,975
16	December 17, 1978	Kansas City Chiefs	W 23-19	Kingdome	9-7	58,490
