Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 10, 1989	at Miami Dolphins	W 27–24	1–0	Joe Robbie Stadium	54541
2	September 18, 1989	Denver Broncos	L 14–28	1–1	Rich Stadium	78176
3	September 24, 1989	at Houston Oilers	W 47–41	2–1	Houston Astrodome	57278
4	October 1, 1989	New England Patriots	W 31–10	3–1	Rich Stadium	78921
5	October 8, 1989	at Indianapolis Colts	L 14–37	3–2	Hoosier Dome	58890
6	October 16, 1989	Los Angeles Rams	W 23–20	4–2	Rich Stadium	76231
7	October 22, 1989	New York Jets	W 34–3	5–2	Rich Stadium	76811
8	October 29, 1989	Miami Dolphins	W 31–17	6–2	Rich Stadium	80208
9	November 5, 1989	at Atlanta Falcons	L 28–30	6–3	Atlanta-Fulton County Stadium	45267
10	November 12, 1989	Indianapolis Colts	W 30–7	7–3	Rich Stadium	79256
11	November 19, 1989	at New England Patriots	L 24–33	7–4	Sullivan Stadium	49663
12	November 26, 1989	Cincinnati Bengals	W 24–7	8–4	Rich Stadium	80074
13	December 4, 1989	at Seattle Seahawks	L 16–17	8–5	Kingdome	57682
14	December 10, 1989	New Orleans Saints	L 19–22	8–6	Rich Stadium	70037
15	December 17, 1989	at San Francisco 49ers	L 10–21	8–7	Candlestick Park	60927
