Rank	Athlete	Country	Distance (metres)	Points	Adjusted Points
1	Paavo Yrjölä	Finland	42.09	881.44	707
2	James Stewart	United States	40.90	836.22	683
3	Antoni Cejzik	Poland	39.43	780.36	653
4	Ken Doherty	United States	38.72	753.38	639
5	Tom Churchill	United States	38.19	733.24	628
6	Hermann Lemperle	Germany	36.99	687.64	604
7	Akilles Järvinen	Finland	36.95	686.12	604
8	Helge Jansson	Sweden	36.83	681.56	600
9	Albert Andersson	Sweden	36.64	674.34	597
10	Mátyás Farkas	Hungary	35.83	643.56	580
11	Henry Lindblad	Sweden	35.53	632.16	574
12	Ludwig Vesely	Austria	35.46	629.50	573
13	Johan Meimer	Estonia	35.32	624.18	570
14	Sven Lundgren	Sweden	35.04	613.54	564
15	Hugo Barth	Germany	34.89	607.84	561
16	Tatsuo Toki	Japan	34.01	574.40	544
17	Adolf Meier	Switzerland	33.43	552.36	532
18	Erwin Huber	Germany	33.07	538.68	525
19	Martti Tolamo	Finland	32.88	531.46	521
20	Howard Ford	Great Britain	32.82	529.18	520
21	Barney Berlinger	United States	32.51	517.40	514
22	Branko Kallay	Yugoslavia	32.24	507.14	509
23	Con O'Callaghan	Ireland	31.69	486.24	498
24	Ion Haidu	Romania	31.59	482.44	496
25	Yonetaro Nakazawa	Japan	31.43	476.36	493
26	Stelios Benardis	Greece	31.41	475.60	492
27	Wilhelm Ladewig	Germany	30.74	450.14	479
28	Gaston Médécin	Monaco	30.71	449.00	478
29	Gérard Noël	Belgium	30.50	441.02	474
30	Gaston Étienne	Belgium	29.81	414.80	461
31	Johannes Viljoen	South Africa	28.95	382.12	444
32	René Joannes-Powell	Belgium	26.73	297.76	401
