Country	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Chile	4,580	4,860	5,410	5,320	5,560	5,700	5,330	5,320	5,420	5,420
Peru	843	850	1,040	1,090	1,049	1,200	1,270	1,260	1,250	1,220
United States	1,140	1,120	1,160	1,150	1,200	1,190	1,310	1,190	1,110	1,120
China	585	565	620	640	890	920	950	960	1,190	1,190
Australia	873	870	854	930	859	860	886	900	870	940
Indonesia	1,160	1,170	840	1,050	816	780	651	950	872	625
Russia	695	700	675	675	725	730	750	750	703	710
Canada	600	580	546	580	607	585	607	520	525	550
Zambia	330	330	427	450	476	530	546	655	690	715
Poland	503	500	531	530	512	470	430	440	425	425
Kazakhstan	490	480	461	400	457	460	420	410	380	360
Mexico	330	330	406	420	338	400	247	250	260	365
Other countries	1,500	1,500	1,610	1,750	1,835	1,800	2,030	2,180	1,900	2,000
World	13,600	13,900	14,600	14,900	15,100	15,600	15,400	15,800	15,900	16,100
