Rank	Year	Ascent Time	Speed	Rider
1	2000	41:55	18.32 km/h	Roberto Heras ( ESP )
2	2013	43:07	17.81 km/h	Chris Horner ( USA )
3	2008	43:12	17.78 km/h	Alberto Contador ( ESP )
4	2000	43:24	17.70 km/h	Pavel Tonkov ( RUS )
5	2000	43:24	17.70 km/h	Roberto Laiseka ( ESP )
6	2013	43:35	17.62 km/h	Alejandro Valverde ( ESP )
7	2013	43:35	17.62 km/h	Vincenzo Nibali ( ITA )
8	2008	43:54	17.49 km/h	Alejandro Valverde ( ESP )
9	2002	43:55	17.49 km/h	Roberto Heras ( ESP )
10	2011	43:57	17.47 km/h	Juan Jose Cobo ( ESP ) †
11	2008	44:10	17.39 km/h	Joaquim Rodriguez ( ESP )
12	2000	44:13	17.37 km/h	Raimondas Rumšas ( LIT )
13	2008	44:17	17.34 km/h	Levi Leipheimer ( USA )
