Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
31	January 2	L.A. Clippers	W 106–98 (OT)	Amar'e Stoudemire (23)	Shaquille O'Neal (9)	Steve Nash (11)	US Airways Center 18,422	19–12
32	January 7	Indiana	L 110–113 (OT)	Amar'e Stoudemire (23)	Louis Amundson (14)	Steve Nash (12)	US Airways Center 18,422	19–13
33	January 9	Dallas	W 128–100 (OT)	Shaquille O'Neal (25)	Shaquille O'Neal (10)	Steve Nash (12)	US Airways Center 18,422	20–13
34	January 11	@ L.A. Clippers	W 109–103 (OT)	Amar'e Stoudemire (26)	Shaquille O'Neal (10)	Steve Nash (12)	Staples Center 17,307	21–13
35	January 13	Atlanta	W 107–102 (OT)	Shaquille O'Neal (26)	Matt Barnes , Shaquille O'Neal (10)	Steve Nash (6)	US Airways Center 18,422	22–13
36	January 15	@ Denver	L 113–119 (OT)	Grant Hill (25)	Grant Hill , Amar'e Stoudemire (8)	Steve Nash (14)	Pepsi Center 18,073	22–14
37	January 16	Minnesota	L 103–105 (OT)	Shaquille O'Neal , Leandro Barbosa (22)	Shaquille O'Neal (11)	Steve Nash (6)	US Airways Center 18,422	22–15
38	January 18	@ Toronto	W 117–113 (OT)	Amar'e Stoudemire (31)	Grant Hill (9)	Steve Nash (18)	Air Canada Centre 19,800	23–15
39	January 19	@ Boston	L 87–104 (OT)	Shaquille O'Neal (16)	Shaquille O'Neal (11)	Steve Nash (8)	TD Banknorth Garden 18,624	23–16
40	January 21	@ New York	L 109–114 (OT)	Jason Richardson (27)	Shaquille O'Neal (12)	Steve Nash (19)	Madison Square Garden 19,256	23–17
41	January 23	@ Charlotte	L 76–98 (OT)	Shaquille O'Neal (20)	Amar'e Stoudemire (9)	Steve Nash (5)	Time Warner Cable Arena 19,104	23–18
42	January 25	@ Atlanta	W 104–99 (OT)	Amar'e Stoudemire (23)	Shaquille O'Neal (11)	Steve Nash (13)	Philips Arena 19,153	24–18
43	January 26	@ Washington	W 103–87 (OT)	Shaquille O'Neal (29)	Amar'e Stoudemire (15)	Steve Nash (15)	Verizon Center 17,344	25–18
44	January 29	San Antonio	L 104–114 (OT)	Amar'e Stoudemire (28)	Amar'e Stoudemire , Grant Hill (10)	Steve Nash (18)	US Airways Center 18,422	25–19
45	January 31	Chicago	L 111–122 (OT)	Leandro Barbosa (32)	Shaquille O'Neal (8)	Steve Nash (10)	US Airways Center 18,422	25–20
