Band Ch.	Call	City	Owner	Operator	Virt. Ch.	Nickname	Programming
19	WHOI	Peoria	Barrington	Granite	19.1	HOI 19	ABC
19	WHOI	Peoria	Barrington	Granite	19.2	CW 4	The CW
25	WEEK-TV	Peoria	Granite	Granite	25.1	WEEK 25	NBC
28	WYZZ-TV	Bloomington	Sinclair	Nexstar	43.1	Fox 43	Fox
28	WYZZ-TV	Bloomington	Sinclair	Nexstar	43.3	ZUUS Country	ZUUS Country
30	WMBD-TV	Peoria	Nexstar	Nexstar	31.1	WMBD 31	CBS
30	WMBD-TV	Peoria	Nexstar	Nexstar	31.2	Bounce TV	Bounce TV
39	WAOE	Peoria	Four Seasons	Granite	59.1	My59	MyNetworkTV
46	WTVP	Peoria	IVPTC	IVPTC	47.1	WTVP 47	PBS
46	WTVP	Peoria	IVPTC	IVPTC	47.2	WTVP World	PBS World
46	WTVP	Peoria	IVPTC	IVPTC	47.3	Create	Create
50	W50DD	Peoria	TBN	TBN	50.0	(off air)	(off air)
