Rank	Name	Confederation	Caps	Last
1	Kristine Lilly	CONCACAF	352	2010
2	Christie Rampone	CONCACAF	282	2013
3	Mia Hamm	CONCACAF	275	2004
4	Julie Foudy	CONCACAF	272	2004
5	Joy Fawcett	CONCACAF	239	2004
6	Birgit Prinz	UEFA	214	2011
7	Abby Wambach	CONCACAF	206	2013
8	Tiffeny Milbrett	CONCACAF	204	2005
9	Kate Markgraf	CONCACAF	201	2010
10	Pu Wei	AFC	201	2008
11	Li Jie	AFC	200	2008
12	Sandrine Soubeyrand	UEFA	198	2013
13	Christine Sinclair	CONCACAF	195	2013
14	Brandi Chastain	CONCACAF	192	2005
15	Fan Yunjie	AFC	192	2004
16	Kerstin Stegemann	UEFA	191	2009
17	Katrine Pedersen	UEFA	190	2012
18	Han Duan	AFC	188	2011
19	Hege Riise	UEFA	188	2004
20	Homare Sawa	AFC	187	2013
21	Shannon Boxx	CONCACAF	186	2013
22	Zhao Lihong	AFC	182	2003
23	Therese Sjögran	UEFA	182	2011
24	Patrizia Panico	UEFA	179	2012
25	Shannon MacMillan	CONCACAF	176	2005
26	Ariane Hingst	UEFA	174	2011
27	Liu Ailing	AFC	173	2001
28	Briana Scurry	CONCACAF	173	2008
29	Bente Nordby	UEFA	172	2007
30	Carla Overbeck	CONCACAF	168	2000
31	Cathrine Paaske-Sørensen	UEFA	163	2010
32	Wen Lirong	AFC	163	2001
33	Sun Wen	AFC	163	2001
34	Wang Liping	AFC	162	2004
35	Victoria Svensson	UEFA	162	2009
36	Cindy Parlow	CONCACAF	158	2004
37	Kristin Bengtsson	UEFA	157	2005
38	Annemieke Griffioen	UEFA	156	2011
39	Tatiana Zorri	UEFA	155	2010
40	Bettina Wiegmann	UEFA	154	2003
41	Bi Yan	AFC	154	2011
42	Michelle Akers	CONCACAF	153	2000
43	Carolina Morace	UEFA	153	1996
44	Linda Medalen	UEFA	152	1999
45	Malin Andersson	UEFA	151	2005
46	Heather O'Reilly	CONCACAF	172	2012
47	Cheryl Salisbury	OFC/AFC	151	2009
48	Heidi Støre	UEFA	151	1997
49	Solveig Gulbrandsen	UEFA	150	2010
50	Renate Lingor	UEFA	149	2008
51	Sandra Minnert	UEFA	147	2007
52	Pia Sundhage	UEFA	146	1996
53	Doris Fitschen	UEFA	144	2001
54	Svetlana Petko	UEFA	144	2005
55	Pauline Hamill	UEFA	141	2011
56	Marleen Wissink	UEFA	141	2006
57	Sonia Bompastor	UEFA	156	2012
58	Merete Pedersen	UEFA	136	2011
59	Carla Couto	UEFA	138	2011
60	Cat Whitehill	CONCACAF	135	2010
61	Gemma Fay	UEFA	144	2012
62	Unni Lehn	UEFA	134	2007
63	Hope Solo	CONCACAF	133	2012
64	Liu Huana	AFC	133	2011
65	Sandra Smisek	UEFA	133	2008
66	Liu Ying	AFC	132	2004
67	Andrea Neil	CONCACAF	132	2007
68	Tisha Venturini	CONCACAF	132	2000
69	Aly Wagner	CONCACAF	131	2009
70	Kerstin Garefrekes	UEFA	130	2011
71	Charmaine Hooper	CONCACAF	130	2006
72	Laura Kalmari	UEFA	130	2011
73	Hanna Ljungberg	UEFA	130	2008
74	Heather Garriock	OFC/AFC	129	2011
75	Diana Matheson	CONCACAF	127	2011
76	Tatiana Skotnikova	UEFA	127	2011
77	Silke Rottenberg	UEFA	126	2008
78	Lindsay Tarpley	CONCACAF	126	2011
79	Karolina Westberg	UEFA	126	2011
80	Martina Voss	UEFA	125	2000
81	Natalia Barbachina	UEFA	124	2011
82	Ri Kum-Suk	AFC	123	2009
80	Dyanne Bito	UEFA	121	2011
83	Corinne Diacre	UEFA	121	2005
82	Lorrie Fair	CONCACAF	120	2008
83	Julie Fleeting	UEFA	120	2011
84	Irina Grigorieva	UEFA	120	2005
85	Hanna Marklund	UEFA	120	2007
86	Brit Sandaune	UEFA	120	2004
87	Sanna Valkonen	UEFA	120	2010
86	Antonella Carta	UEFA	119	1999
88	Gillian Coultard	UEFA	119	2000
89	Hiromi Isozaki/Ikeda	AFC	119	2011
90	Tomoe Sakai/Katoh	AFC	119	2011
91	Anne Eggers Nielsen	UEFA	118	2007
92	Sun Hui Ho	AFC	118	2009
93	Jessica Julin	UEFA	118	2009
94	Carli Lloyd	CONCACAF	118	2011
95	Anne Mäkinen	UEFA	118	2009
96	Trine Rønning	UEFA	118	2011
97	Marina Burakova	UEFA	117	2004
98	Carin Jennings-Gabarra	CONCACAF	117	1996
99	Heather Mitts	CONCACAF	116	2011
100	Stéphanie Mugneret-Béghé	UEFA	116	2005
101	Rachel Yankey	UEFA	116	2011
102	Sun Qingmei	AFC	115	1997
103	Daphne Koster	UEFA	114	2011
104	Randee Hermus	CONCACAF	113	2011
105	Malin Moström	UEFA	113	2006
106	Hoda Lattaf	UEFA	112	2008
107	Elisabeth Leidinge	UEFA	112	1996
108	Marinette Pichon	UEFA	112	2006
109	Ann Kristin Aarones	UEFA	111	1999
110	Giorgia Brenzan	UEFA	111	1992
111	Steffi Jones	UEFA	111	2007
112	Maria Lazarou	UEFA	111	2004
113	Maria Makowska	UEFA	111	2008
114	Silvia Neid	UEFA	111	1996
115	Lena Videkull	UEFA	111	1996
116	Laura Georges	UEFA	126	2012
117	Lene Jensen	UEFA	110	2011
118	Femke Maes	UEFA	110	2010
119	Gunn Nyborg	UEFA	110	1992
120	Joanne Peters	OFC/AFC	110	2009
121	Tiffany Roberts	CONCACAF	110	2009
122	Elisabetta Vignotto	UEFA	110	1988
123	Angela Hucles	CONCACAF	109	2009
124	Jane Törnqvist	UEFA	109	2005
125	Ane Stangeland Horpestad	UEFA	107	2011
126	Katrín Jónsdóttir	UEFA	106	2010
127	Nadine Angerer	UEFA	105	2011
128	Gro Espeseth	UEFA	105	2000
129	Ingvild Stensland	UEFA	105	2011
130	Lene Terp	UEFA	105	2004
131	Juana Lopez	CONCACAF	104	2011
132	Heidi Mohr	UEFA	104	1996
133	Sarina Wiegman	UEFA	104	2004
134	Bai Jie	AFC	103	2003
135	Anna-Kaisa Rantanen	UEFA	103	2011
136	Elvira Todua	UEFA	103	2011
137	Anissa Tann-Darby	OFC	102	2002
138	Brittany Timko	CONCACAF	102	2011
139	Paula Cristina	UEFA	102	2011
140	Amy Walsh	CONCACAF	102	2009
141	Faye White	UEFA	102	2011
142	Pia Wunderlich	UEFA	102	2006
143	Amy Rodriguez	CONCACAF	101	2012
