Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	14–7	Urijah Faber	Submission (rear-naked choke)	The Ultimate Fighter 17 Finale	4	3:16	Las Vegas, Nevada , United States
Win	14–6	John Albert	Submission (rear-naked choke)	UFC on Fox: Henderson vs. Diaz	1	4:59	Seattle, Washington , United States
Loss	13–6	Eddie Wineland	KO (punches)	UFC on FX: Johnson vs. McCall	2	4:10	Sunrise, Florida , United States
Loss	13–5	Renan Barão	Decision (unanimous)	UFC 143	3	5:00	Las Vegas, Nevada , United States
Win	13–4	Jeff Curran	Decision (unanimous)	UFC 137	3	5:00	Las Vegas, Nevada , United States
Win	12–4	Ken Stone	KO (punches)	The Ultimate Fighter 13 Finale	1	4:01	Las Vegas, Nevada , United States
Loss	11–4	Dominick Cruz	Decision (unanimous)	WEC 53	5	5:00	Glendale, Arizona , United States
Win	11–3	Brad Pickett	Decision (unanimous)	WEC 50	3	5:00	Las Vegas, Nevada , United States
Win	10–3	Antonio Banuelos	Decision (unanimous)	WEC 48	3	5:00	Sacramento, California , United States
Win	9–3	Chad George	Submission (standing guillotine choke)	WEC 47	1	0:31	Columbus, Ohio , United States
Win	8–3	Takeya Mizugaki	Decision (unanimous)	WEC 45	3	5:00	Las Vegas, Nevada , United States
Win	7–3	Noah Thomas	TKO (punches and elbows)	WEC 43	1	3:13	San Antonio, Texas , United States
Loss	6–3	Antonio Banuelos	Decision (split)	WEC 41	3	5:00	Sacramento, California , United States
Win	6–2	Frank Gomez	Submission (guillotine choke)	WEC 38	1	1:09	San Diego, California , United States
Win	5–2	Kenji Osawa	Decision (unanimous)	WEC 35	3	5:00	Las Vegas, Nevada , United States
Loss	4–2	Damacio Page	Decision (unanimous)	WEC 32	3	5:00	Albuquerque, New Mexico , United States
Win	4–1	Chris David	Decision (unanimous)	ShoXC#July 27, 2007 card	3	5:00	Santa Barbara, California , United States
Win	3–1	Tyler Toner	Decision (unanimous)	ROF 29: Aftershock	3	5:00	Boulder, Colorado , United States
Loss	2–1	Joe Jesser	Submission (armbar)	ROF 26: Relentless	1	1:08	Colorado Springs, Colorado , United States
Win	2–0	Louie Lagunsad	Submission (heel hook)	ROF 25: Overdrive	1	1:43	Boulder, Colorado , United States
Win	1–0	Mike Morris	Submission (armbar)	Alaska Fighting Championship 24	1	1:31	Juneau, Alaska , United States
