Country	Seasons	Championship Titles	Race entries (Starts)	Poles	Wins	Podiums	Fastest Laps	Points
United Kingdom	1986	0	1	0	0	0	0	0
Portugal	1997 – 1998	0	16	0	0	0	1	7
France	1991 – 1992	0	20 (19)	1	0	1	0	7
Spain	1987	0	1 (0)	0	0	0	0	0
Netherlands	2000	0	10 (9)	0	0	0	0	0
United Kingdom	1993	0	1	0	0	0	0	0
United Kingdom	1987	0	2 (0)	0	0	0	0	0
France	1988 – 1989	1 ( 1989 )	20	2	3	5	1	50
France	1985 – 1986	0	7	1	1	1	0	10
Mexico	1990	0	4 (3)	0	0	0	0	0
Spain	2000	0	10 (9)	1	1	2	2	17
Italy	1987 – 1988 , 1990 – 1991	0	31 (14)	0	0	0	0	0
United Kingdom	1988 – 1990 , 1992 – 1993	0	35 (29)	0	0	0	0	0
Sweden	1986 – 1988	0	16 (12)	0	0	0	0	0
Italy	1991	0	1	0	0	0	0	0
France	1993	0	5 (4)	0	0	0	0	0
Italy	1986	0	4 (1)	0	0	0	0	0
Italy	1987 – 1991 , 1999	0	54 (52)	2	0	6	9	71
United Kingdom	1996	0	1	0	0	0	0	0
Turkey	2004	0	9	0	0	0	0	0
France	1988 – 1990	0	14 (11)	0	0	1	0	4
Austria	2003	0	2	0	0	0	0	0
France	1997 – 2000	0	41 (40)	1	2	5	3	48
Belgium	1988	0	2 (0)	0	0	0	0	0
Italy	1992	1 ( 1992 )	10	5	4	5	3	46
United Kingdom	1987	0	7	0	1	1	0	13
Italy	1985 – 1986	0	2 (1)	0	0	0	0	0
Italy	1987 – 1988 , 1990 – 1991	0	18 (14)	0	0	0	0	3
Italy	1986 – 1988	0	22 (19)	0	0	0	0	3
Brazil	1992	0	10	0	0	4	2	27
Germany	1990 – 1993	0	32 (31)	1	0	5	1	30
Brazil	1998 – 1999	0	18 (14)	0	0	0	0	1
Hungary	2001 – 2003	0	28 (27)	0	0	0	0	7
United States	2003	0	10	0	0	1	0	17
France	1988	0	3 (0)	0	0	0	0	0
France	1995 – 1997	0	22	0	0	1	0	6
France	1987 – 1991	0	53 (45)	0	0	0	0	3
France	1997	0	7	0	0	0	0	0
Monaco	1992 – 1993	0	19	1	1	1	0	20
France	1988 – 1989	0	20 (19)	3	1	4	3	38
Brazil	1999 – 2000	0	20 (18)	1	0	0	0	7
Germany	1999	0	2 (0)	0	0	0	0	0
Italy	1988 – 1989 , 1993	0	22 (10)	0	0	0	0	2
Italy	2003	0	1	0	0	0	0	0
Italy	1985 – 1987	0	10 (2)	0	0	0	0	0
Italy	1995 – 1999	0	31 (22)	0	0	0	0	7
Sweden	2002	0	5	0	0	0	0	0
United Kingdom	1987 – 1989	0	31 (28)	0	0	4	2	31
Italy	1999	0	5 (1)	0	0	0	0	0
Italy	1990 – 1992	0	21 (16)	0	0	0	0	0
Sweden	1985	0	4 (3)	0	0	0	0	0
France	1995	0	8	0	0	1	0	6
France	1993 – 1994	1 ( 1994 )	17	0	3	6	2	48
Canada	1990	0	2 (0)	0	0	0	0	0
France	2000 – 2002	1 ( 2002 )	34 (33)	8	4	12	4	91
Australia	1991	0	4	0	0	0	0	0
Australia	1989 – 1990	0	18 (15)	0	0	2	0	10
Sweden	1994 – 1996	0	26 (25)	5	4	11	3	78
United States	1986	0	4 (1)	0	0	0	0	0
Australia	2002	0	7	0	0	0	0	0
Italy	1991 – 1993	0	25 (23)	0	0	1	0	8
Italy	1992	0	8 (7)	0	0	0	0	0
Switzerland	1985	0	2	0	0	0	0	0
Ireland	1986	0	1	0	0	0	0	0
Italy	2001	0	1	0	0	0	0	0
Switzerland	2001	0	12	0	0	0	0	2
Canada	1988	0	4 (0)	0	0	0	0	0
Spain	1986	0	9 (5)	0	0	0	0	1
Brazil	1995	0	8	0	0	0	0	3
Italy	1985 – 1986	1 ( 1986 )	19 (17)	3	3	8	2	52
Brazil	1994	0	1	0	0	0	0	0
United Kingdom	1993	0	2	0	0	0	0	0
Austria	1985 – 1986 , 1988	0	18 (12)	0	0	0	0	0
Portugal	1989 – 1990 , 1992	0	24 (18)	0	0	0	0	3
United States	1986	0	1 (0)	0	0	0	0	0
France	1989	0	10 (5)	0	0	0	0	0
Switzerland	1988 – 1991	0	40 (36)	0	1	4	0	34
France	1994 – 1995 , 1997	0	17	1	0	1	3	15
France	2001	0	4	0	0	0	0	0
Italy	1991	0	10 (8)	0	0	0	0	0
France	1991 – 1993	0	21 (20)	1	0	2	0	17
France	1989 – 1990	1 ( 1990 )	21 (20)	5	6	11	5	90
Brazil	1993	0	9 (7)	0	0	0	0	0
United Kingdom	1997 – 1998	0	13 (8)	0	0	0	0	0
Italy	1986	0	2 (0)	0	0	0	0	0
France	1994 – 1995	0	16	0	0	2	0	14
Portugal	1996 – 1997	0	18 (17)	0	0	1	0	8
United Kingdom	1992 – 1994	0	20	0	1	7	3	42
Macau	1998 – 2000	0	32 (30)	0	0	2	0	15
South Africa	1993	0	2 (0)	0	0	0	0	0
United Kingdom	1991	0	1	0	0	0	0	0
Italy	1994	0	2	0	0	0	0	0
Argentina	1988	0	5 (0)	0	0	0	0	0
Brazil	1996	0	10	0	0	0	0	7
Italy	1985 – 1987	0	23 (12)	0	0	0	0	6
France	1986	0	9 (8)	0	0	0	0	3
France	1986 – 1987	0	11	1	2	2	3	20
Sweden	1988 – 1989	0	18 (17)	0	1	2	0	14
West Germany	1985	1 ( 1985 )	11	2	4	7	4	51 (52)
United Kingdom	1997 – 2000	0	35 (32)	1	1	7	1	37
Brazil	1996	0	1	0	0	0	0	0
Spain	1997	0	1 (0)	0	0	0	0	0
Belgium	1988	0	1 (0)	0	0	0	0	0
Brazil	1993 – 1994	0	17	2	3	7	1	49
France	1997 – 1999	0	26 (15)	0	0	0	0	0
Belgium	1995	0	2	0	0	0	0	0
Italy	1994 – 1995	0	16	0	0	1	0	9
Italy	1988	0	3 (0)	0	0	0	0	0
Spain	1986 – 1988	0	14 (5)	0	0	0	0	1
United Kingdom	1990 , 1992	0	6	0	0	0	0	2
Italy	1988	0	4 (0)	0	0	0	0	0
Italy	1985	0	3	0	0	0	0	0
France	1999	0	5 (0)	0	0	0	0	0
France	1986 – 1987 , 1989	0	10 (5)	0	0	0	0	0
Switzerland	1988 – 1991	0	28 (20)	0	0	2	0	8
Italy	1990 – 1994	0	43 (36)	0	0	0	0	2
France	1990 – 1991	0	9 (2)	0	0	0	0	0
France	1997 – 1999	0	25 (23)	0	0	2	0	9
Brazil	1993 – 1994	0	17 (16)	0	0	0	0	3
United Kingdom	1988 – 1989	0	15	1	3	6	3	43
