Date	Opponents	H / A	Result F – A	Scorers
24 July 1991	Mazda	H	1 – 2	Ferguson
29 July 1991	Strømsgodset	A	3 – 1	Ince , Beardsmore , Wallace
30 July 1991	Viking	A	1 – 0	Robins
1 August 1991	Molde	A	3 – 1	Blackmore , Hughes (2)
4 August 1991	Dumbarton	A	5 – 0	Robins (2), Hughes (2), McClair
5 August 1991	Aberdeen	A	1 – 1 (4 – 3 p )	Hughes
7 August 1991	Austria Memphis	A	1 – 5	McClair
11 August 1991	Republic of Ireland XI	H	1 – 1	Robson
3 May 1992	Everton	H	2 – 4	Ince , Hughes
8 May 1992	Manchester City	A	2 – 1	Bruce ( pen. ), Toal
