Surname	First	D.O.B.	Bats	Throws	Position
Beresford	James	19 January 1989	L	R	INF
Berg	Daniel	21 November 1984	R	R	INF
Biddle	Elliot	23 November 1988	R	L	LHP
Blackley	Adam	22 February 1985	L	L	LHP
Blackley	Travis	4 November 1982	L	L	LHP
Blackmore	Matthew	19 June 1982	R	R	RHP
Blejwas	Jason	3 February 1980	R	R	RHP
Booth	Ryan	22 May 1983	L	R	OF
Bright	Adam	11 August 1984	L	L	LHP
Harman	Brad	19 November 1985	R	R	INF
Hendricks	Donovan	9 March 1986	L	L	LHP
Huber	Justin	1 July 1982	R	R	OF
Johnston	Rikki	2 April 1981	L	L	UTILITY
Karlsen	Grant	21 February 1985	R	R	C
Kent	Matthew	7 February 1980	R	R	C
Lindsay	Shane	25 January 1985	R	R	RHP
Russell	Andrew	27 April 1984	R	R	OF
Rutgers	Paul	17 January 1984	R	R	INF
Stokes	Peter	27 April 1977	R	R	INF
Weichard	Paul	7 November 1979	S	L	OF
Wilson	Brendan	7 October 1985	R	R	RHP
Wiltshire	Greg	1 March 1980	R	R	RHP
