Rider	Manufacturer	Laps	Time/Retired	Grid
Tomoyoshi Koyama	KTM	22	41:06.339	7
Gábor Talmácsi	Aprilia	22	+0.049	1
Randy Krummenacher	KTM	22	+0.131	15
Sergio Gadea	Aprilia	22	+0.500	3
Pol Espargaró	Aprilia	22	+2.081	18
Bradley Smith	Honda	22	+4.792	4
Simone Corsi	Aprilia	22	+16.840	9
Joan Olivé	Aprilia	22	+16.910	14
Stefan Bradl	Aprilia	22	+16.919	13
Michael Ranseder	Derbi	22	+16.922	17
Sandro Cortese	Aprilia	22	+17.112	11
Esteve Rabat	Honda	22	+17.255	12
Lukáš Pešek	Derbi	22	+17.263	5
Lorenzo Zanetti	Aprilia	22	+23.707	21
Dominique Aegerter	Aprilia	22	+28.366	27
Alexis Masbou	Honda	22	+28.637	22
Andrea Iannone	Aprilia	22	+28.658	10
Pere Tutusaus	Aprilia	22	+29.026	25
Mike Di Meglio	Honda	22	+29.619	16
Pablo Nieto	Aprilia	22	+31.800	20
Federico Sandi	Aprilia	22	+46.773	26
Roberto Tamburini	Aprilia	22	+47.361	29
Nicolás Terol	Derbi	22	+53.881	19
Robert Muresan	Derbi	22	+54.045	23
Hugo van den Berg	Aprilia	22	+54.103	24
Danny Webb	Honda	22	+1:20.170	34
Ivan Maestro	Honda	22	+1:36.934	33
Héctor Faubel	Aprilia	18	Retirement	2
Philipp Eitzinger	Honda	12	Retirement	30
Simone Grotzkyj	Aprilia	11	Retirement	28
Mattia Pasini	Aprilia	2	Retirement	8
Raffaele de Rosa	Aprilia	2	Retirement	6
Stevie Bonsey	KTM	1	Retirement	32
Joey Litjens	Honda	0	Retirement	31
