Date	Course	Distance	Type	Winner
22 May	Bologna to Bologna	km (mi)	Plain stage	Endrio Leoni ( ITA )
22 May	Bologna	km (mi)	Individual time trial	Armand de Las Cuevas ( FRA )
23 May	Bologna to Osimo	km (mi)	Hilly stage	Moreno Argentin ( ITA )
24 May	Osimo to Loreto Aprutino	km (mi)	Hilly stage	Gianni Bugno ( ITA )
25 May	Montesilvano to Campitello Matese	km (mi)	Stage with mountain(s)	Evgeni Berzin ( RUS )
26 May	Campobasso to Melfi	km (mi)	Plain stage	Endrio Leoni ( ITA )
27 May	Potenza to Caserta	km (mi)	Plain stage	Marco Saligari ( ITA )
28 May	Fiuggi to Fiuggi	km (mi)	Hilly stage	Laudelino Cubino ( ESP )
29 May	Grosseto to Follonica	km (mi)	Individual time trial	Evgeni Berzin ( RUS )
30 May	Castiglione della Pescaia to Pontedera	km (mi)	Plain stage	Ján Svorada ( CZE )
31 May	Marostica to Marostica	km (mi)	Plain stage	Djamolidine Abdoujaparov ( UZB )
1 June	Marostica to Bibione	km (mi)	Plain stage	Ján Svorada ( CZE )
2 June	Bibione to Kranj ( Slovenia )	km (mi)	Hilly stage	Andrea Ferrigato ( ITA )
3 June	Kranj (Slovenia) to Lienz ( Austria )	km (mi)	Hilly stage	Michele Bartoli ( ITA )
4 June	Lienz (Austria) to Merano	km (mi)	Stage with mountain(s)	Marco Pantani ( ITA )
5 June	Merano to Aprica	km (mi)	Stage with mountain(s)	Marco Pantani ( ITA )
6 June	Sondrio to Stradella	km (mi)	Plain stage	Maximilian Sciandri ( ITA )
7 June	Santa Maria della Versa to Lavagna	km (mi)	Plain stage	Ján Svorada ( CZE )
8 June	Chiavari to Passo del Bocco	km (mi)	Individual time trial	Evgeni Berzin ( RUS )
9 June	Lavagna to Bra	km (mi)	Plain stage	Massimo Ghirotto ( ITA )
10 June	Cuneo to Les Deux Alpes ( France )	km (mi)	Stage with mountain(s)	Vladimir Poulnikov ( UKR )
11 June	Les Deux Alpes (France) to Sestriere	km (mi)	Stage with mountain(s)	Pascal Richard ( SUI )
12 June	Turin to Milan	km (mi)	Plain stage	Stefano Zanini ( ITA )
Total	Total	km (mi)	km (mi)	km (mi)
