Date	Location	Opponent	Cardinal Points	Opp. Points	Record
Nov. 14/08	Stanford	Minnesota	68	55	1-0
Nov. 16/08	Waco, TX	Baylor	65	81	1-1
Nov. 20/08	Stanford	New Mexico	84	46	2-1
Nov. 23/08	Stanford	Rutgers	81	47	3-1
Nov. 28/08	Honolulu	Purdue	78	70	4-1
Nov. 29/08	Honolulu	Iowa State	83	45	5-1
Nov. 30/08	Honolulu	Hawaii	83	54	6-1
Dec. 13/08	Stanford	Fresno State	100	62	7-1
Dec. 16/08	Durham, NC	Duke	52	56	7-2
Dec. 19/08	Columbia, SC	South Carolina	78	47	8-2
Dec. 21/08	Knoxville, TN	Tennessee	69	79	8-3
Dec. 28/08	Stanford	UC Davis	84	49	9-3
Jan. 2/09	Tempe, AZ	Arizona State	64	61	9-3
Jan. 4/09	Tucson, AZ	Arizona	70	61	10-3
Jan. 8/09	Stanford	Washington	112	35	11-3
Jan. 10/09	Stanford	Washington State	102	53	12-3
Jan. 18/09	Berkeley, CA	California	54	57	12-4
Jan. 22/09	Eugene, OR	Oregon	85	57	13-4
Jan. 24/09	Corvallis, OR	Oregon State	69	54	14-4
Jan. 29/09	Stanford	USC	81	53	15-4
Feb. 1/09	Stanford	UCLA	68	51	16-4
Feb. 6/09	Pullman, WA	Washington State	76	46	17-4
Feb. 8/09	Seattle, WA	Washington	76	54	18-4
Feb. 14/09	Stanford	California	58	41	19-4
Feb. 19/09	Stanford	Oregon State	72	43	20-4
Feb. 21/09	Stanford	Oregon	68	49	21-4
Feb. 27/09	Los Angeles	UCLA	69	58	22-4
Mar. 1/09	Los Angeles	USC	85	74	23-4
Mar. 5/09	Stanford	Arizona	70	67	24-4
