Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	34–3–2	Ilir Latifi	Decision (unanimous)	UFC on Fuel TV: Mousasi vs. Latifi	3	5:00	Stockholm , Sweden
Win	33–3–2	Mike Kyle	Submission (rear-naked choke)	Strikeforce: Marquardt vs. Saffiedine	1	4:09	Oklahoma City, Oklahoma , United States
Win	32–3–2	Ovince St. Preux	Decision (unanimous)	Strikeforce: Melendez vs. Masvidal	3	5:00	San Diego, California , United States
Win	31–3–2	Hiroshi Izumi	TKO (punches)	Dream: Japan GP Final	1	3:29	Tokyo , Japan
Draw	30–3–2	Keith Jardine	Draw (majority)	Strikeforce: Diaz vs. Daley	3	5:00	San Diego, California , United States
Win	30–3–1	Tatsuya Mizuno	Submission (rear-naked choke)	Dream 16	1	6:10	Nagoya , Japan
Win	29–3–1	Jake O'Brien	Submission (guillotine choke)	Dream 15	1	0:31	Saitama , Japan
Loss	28–3–1	Muhammed Lawal	Decision (unanimous)	Strikeforce: Nashville	5	5:00	Nashville, Tennessee , United States
Win	28–2–1	Gary Goodridge	TKO (punches)	Dynamite!! 2009	1	1:34	Saitama , Saitama, Japan
Win	27–2–1	Rameau Thierry Sokoudjou	TKO (punches)	Strikeforce: Fedor vs. Rogers	2	3:43	Hoffman Estates, Illinois , United States
Win	26–2–1	Renato Sobral	KO (punches)	Strikeforce: Carano vs. Cyborg	1	1:00	San Jose, California , United States
Win	25–2–1	Mark Hunt	Submission (kimura)	Dream 9	1	1:19	Yokohama , Japan
Win	24–2–1	Ronaldo Souza	KO (upkick)	Dream 6	1	2:15	Saitama , Japan
Win	23–2–1	Melvin Manhoef	Submission (triangle choke)	Dream 6	1	1:28	Saitama , Japan
Win	22–2–1	Yoon Dong-Sik	Decision (unanimous)	Dream 4	2	5:00	Yokohama , Japan
Win	21–2–1	Denis Kang	Submission (triangle choke)	Dream 2	1	3:10	Saitama , Japan
Win	20–2–1	Steve Mensing	TKO (punches)	M-1 Mixfight	1	2:44	Landsmeer , Netherlands
Win	19–2–1	Evangelista Santos	TKO (punches)	HCF: Destiny	1	3:42	Calgary, Alberta , Canada
Win	18–2–1	Damir Mirenic	TKO (punches)	HCF: Title Wave	1	4:46	Calgary, Alberta , Canada
Win	17–2–1	Kyacey Uscola	TKO (punches)	Bodog FIGHT	1	4:56	Vancouver, British Columbia , Canada
Win	16–2–1	Alexander Kokoev	Decision (unanimous)	M-1 MFC: Battles	3	5:00	Saint Petersburg , Russia
Win	15–2–1	Gregory Bouchelaghem	Submission (punches)	CWFC: Enter	1	2:20	Nottingham , United Kingdom
Win	14–2–1	Hector Lombard	Decision (unanimous)	Pride Bushido 13	2	5:00	Yokohama , Japan
Loss	13–2–1	Akihiro Gono	Submission (armbar)	Pride Bushido 12	2	4:24	Nagoya , Japan
Win	13–1–1	Makoto Takimoto	TKO (broken eye socket)	Pride Bushido 11	1	5:34	Saitama , Japan
Win	12–1–1	Hidetada Irie	TKO (corner stoppage)	Deep: 24 Impact	2	1:29	Tokyo , Japan
Win	11–1–1	Sanjin Kadunc	TKO (punches)	Future Battle	1	0:35	Bergen op Zoom , Netherlands
Win	10–1–1	Andre Fyeet	TKO (punches)	2H2H: Mixed Fight	1	0:40	Landsmeer , Netherlands
Win	9–1–1	Tsuyoshi Kurihara	KO (knee)	Deep: 22 Impact	1	0:10	Tokyo , Japan
Win	8–1–1	Stefan Klever	TKO (punches)	Europe: Rotterdam Rumble	1	3:39	Rotterdam , Netherlands
Win	7–1–1	Chico Martinez	Submission (rear-naked choke)	JE: Holland vs. Russia	1	4:39	Landsmeer , Netherlands
Win	6–1–1	Brady Donnelly	KO (punch)	Rings: Bushido Ireland	1	1:02	Dublin , Ireland
Loss	5–1–1	Petras Markevičius	Submission (armbar)	Fight Festival 13	2	1:49	Helsinki , Finland
Win	5–0–1	Erik Oganov	Submission (rear-naked choke)	M-1 MFC: Fight Night	1	2:16	Saint Petersburg , Russia
Win	4–0–1	Rody Trost	TKO (punches)	IMA: Mix Fight	1	3:18	Landsmeer , Netherlands
Win	3–0–1	Niko Puhakka	Submission (rear-naked choke)	Fight Festival 11	2	2:17	Helsinki , Finland
Draw	2–0–1	Gilson Ferreira	Draw	Fight Gala	2	5:00	Zaandam , Netherlands
Win	2–0	Xander Nel	TKO (punches)	IMA: Mixfight	1	1:05	Badhoevedorp , Netherlands
Win	1–0	Daniel Spek	TKO (punches)	2H2H: 1st Open Team	1	3:40	Amsterdam , Netherlands
