Tournament	2007	2008	2009	2010	2011	2012
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	Q1	2R	A	1R	3R	1R
French Open	Q2	1R	A	1R	2R	2R
Wimbledon	A	1R	A	2R	3R	1R
US Open	1R	A	A	A	2R	1R
Win–Loss	0–1	1–3	0–0	1–3	6–4	1–4
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	NH	A	Not Held	Not Held	Not Held	1R
ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000	ATP World Tour Masters 1000
Indian Wells Masters	A	2R	A	A	1R	1R
Miami Masters	1R	1R	A	A	1R	2R
Monte Carlo Masters	A	A	A	A	2R	QF
Rome Masters	A	A	A	A	A	1R
Madrid Masters	A	A	A	A	A	A
Canada Masters	2R	A	A	A	A	A
Cincinnati Masters	A	A	A	A	A	1R
Shanghai Masters	NMS	NMS	A	A	1R	A
Paris Masters	A	A	A	A	A	A
Win–Loss	1–2	1–2	0–0	0–0	1–4	4–5
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Titles–Runner-ups	0–0	0–0	0–0	0–0	1–0	1–0
Year End Ranking	114	116	447	65	45	56
