Model	Launch year	RAM ( MiB )	ROM ( MiB )	Slots	WiFi	Bluetooth
X5	2002	32	32	1CFII,1SD	No	No
X5 high end	2002	64	48	1CFII,1SD	No	No
X3 Basic	2003	32	32	1SD	No	No
X3 Advanced	2003	64	64	1SD	No	No
X3i	2003	64	64	1SD	802.11b	No
X30 low-end	2004	32	32	1SD	No	No
X30 mid-range	2004	64	64	1SD	802.11b	1.1
X30 high-end	2004	64	64	1SD	802.11b	1.1
X50 Standard	2004	64	64	1CFII,1SD	No	Yes
X50 Advanced	2004	64	128	1CFII,1SD	802.11b	Yes
X50v	2004	64	128	1CFII,1SD	802.11b	1.2
X51 low-end	2005	64	128	1CFII,1SD	No	1.2
X51 mid-range	2005	64	128	1CFII,1SD	802.11b	1.2
X51v	2005	64	256	1CFII,1SD	802.11b	1.2
