#	Episode title	Writer(s)	Director	Prod. Code	Original airdate
1	What Weddings Do to People	Randi Mayem Singer	Mike Pavone	#226751	January 10, 2001
2	Seriously, All Coma Proposals Aside...	Rina Mimoun	David Petrarca	#226752	January 17, 2001
3	Caution: Parents Crossing	Tim Davis and Peter Saisselin	David Petrarca	#226754	January 24, 2001
4	California Dreamin'	Becky Hartman Edwards	Mel Damski	#226753	January 31, 2001
5	Chivas and Lies	Tom Spezialy	Michael Katleman	#226755	February 7, 2001
6	Pressure Points	Rina Mimoun	Randall Miller	#226756	February 14, 2001
7	Crazy Like a Fox, Hungry Like the Wolf...	Randi Mayem Singer and Rina Mimoun	Michael Katleman	#226757	February 28, 2001
8	The Big Bounce	Nick Harding	Lev L. Spiro	#226758	March 7, 2001
9	The Time-Sex Continuum	Becky Hartman Edwards	Adam Nimoy	#226759	March 14, 2001
10	Battle of the Bahamas	Kevin Murphy	Keith Samples	#226760	March 21, 2001
11	Bag Full of Love	Tom Spezialy	Mel Damski	#226761	March 28, 2001
12	... And Nothing but the Truth, Part 1	Tim Davis and Peter Siasselin	Mike Pavone	#226762	April 4, 2001
