Ship	Length	Passengers	Speed	Built	Company	Registry
Color Magic	m (ft)	2,700	kn (km/h; mph)	2007	Color Line	Norway
Color Fantasy	m (ft)	2,750	kn (km/h; mph)	2004	Color Line	Norway
Stena Britannica	m (ft)	1,200	kn (km/h; mph)	2010	Stena Line	United Kingdom
Stena Hollandica	m (ft)	1,200	kn (km/h; mph)	2010	Stena Line	Netherlands
Pride of Rotterdam	m (ft)	1,360	kn (km/h; mph)	2001	P&O Ferries	Netherlands
Pride of Hull	m (ft)	1,360	kn (km/h; mph)	2001	P&O Ferries	United Kingdom
Silja Europa	m (ft)	3,120	kn (km/h; mph)	1993	Tallink	Estonia
Silja Symphony	m (ft)	2,850	kn (km/h; mph)	1991	Silja Line	Sweden
Silja Serenade	m (ft)	2,841	kn (km/h; mph)	1990	Silja Line	Finland
Stena Scandinavica	m (ft)	1,300	kn (km/h; mph)	2003	Stena Line	United Kingdom
MS Viking Grace	m (ft)	2,800	kn (km/h; mph)	2013	Viking Line	Finland
Cruise Roma	m (ft)	2,300	kn (km/h; mph)	2007	Grimaldi Ferries	Italy
Cruise Barcelona	m (ft)	2,300	kn (km/h; mph)	2008	Grimaldi Ferries	Italy
Cruise Europa	m (ft)	3,000	kn (km/h; mph)	2009	Minoan Lines	Greece
Cruise Olympia	m (ft)	3,000	kn (km/h; mph)	2009	Minoan Lines	Greece
Tanit	m (ft)	3,200	kn (km/h; mph)	2012	CTN	Tunisia
Ulysses	m (ft)	1,875	kn (km/h; mph)	2001	Irish Ferries	Cyprus
La Suprema	m (ft)	3,000	kn (km/h; mph)	2003	Grandi Navi Veloci	Italy
La Superba	m (ft)	3,000	kn (km/h; mph)	2002	Grandi Navi Veloci	Italy
Galaxy	m (ft)	2,700	kn (km/h; mph)	2006	Silja Line	Sweden
Baltic Princess	m (ft)	2,800	kn (km/h; mph)	2008	Silja Line	Finland
Baltic Queen	m (ft)	2,800	kn (km/h; mph)	2009	Tallink	Estonia
Spirit of Britain	m (ft)	2,000	kn (km/h; mph)	2010	P&O Ferries	United Kingdom
Spirit of France	m (ft)	2,000	kn (km/h; mph)	2011	P&O Ferries	United Kingdom
Viking Cinderella	m (ft)	2,700	kn (km/h; mph)	1989	Viking Line	Sweden
Napoleon Bonaparte	m (ft)	2,450	kn (km/h; mph)	1996	SNCM	France
Stena Germanica	m (ft)	1,300	kn (km/h; mph)	2001	Stena Line	Sweden
Stena Adventurer	m (ft)	1,500	kn (km/h; mph)	2003	Stena Line	United Kingdom
Finnstar	m (ft)	500	kn (km/h; mph)	2006	Finnlines	Finland
Finnmaid	m (ft)	500	kn (km/h; mph)	2006	Finnlines	Finland
Finnlady	m (ft)	500	kn (km/h; mph)	2007	Finnlines	Finland
Europalink	m (ft)	500	kn (km/h; mph)	2007	Finnlines	Sweden
Nordlink	m (ft)	500	kn (km/h; mph)	2007	Finnlines	Sweden
Skåne	m (ft)	600	kn (km/h; mph)	1998	Scandlines	Sweden
Danielle Casanova	m (ft)	2,600	kn (km/h; mph)	2002	SNCM	France
Victoria I	m (ft)	2,500	kn (km/h; mph)	2004	Tallink	Estonia
Romantika	m (ft)	2,500	kn (km/h; mph)	2001	Tallink	Latvia
Pearl Seaways	m (ft)	2,200	kn (km/h; mph)	1989	DFDS Seaways	Denmark
Nuraghes	m (ft)	3,000	kn (km/h; mph)	2004	Tirrenia di Navigazione	Italy
Sharden	m (ft)	3,000	kn (km/h; mph)	2005	Tirrenia di Navigazione	Italy
Excelsior	m (ft)	2,000	kn (km/h; mph)	1999	Grandi Navi Veloci	Italy
Excellent	m (ft)	2,330	kn (km/h; mph)	1998	Grandi Navi Veloci	Italy
Pont-Aven	m (ft)	2,400	kn (km/h; mph)	2004	Brittany Ferries	France
Stena Vision	m (ft)	1,700	kn (km/h; mph)	1987	Stena Line	Sweden
Stena Spirit	m (ft)	2,500	kn (km/h; mph)	1988	Stena Line	Sweden
Splendid	m (ft)	2,000	kn (km/h; mph)	1994	Grandi Navi Veloci	Italy
El Venizelos	m (ft)	3,000	kn (km/h; mph)	1992	ANEK Lines	Greece
Mecklenburg-Vorpommern	m (ft)	887	kn (km/h; mph)	1996	Scandlines	Germany
Mariella	m (ft)	2,500	kn (km/h; mph)	1985	Viking Line	Finland
Princess Anastasia	m (ft)	2,500	kn (km/h; mph)	1986	St Peter Line	Cyprus
Europa Palace	m (ft)	2,182	kn (km/h; mph)	2002	Minoan Lines	Greece
Olympia Palace	m (ft)	2,182	kn (km/h; mph)	2001	Minoan Lines	Greece
Bithia	m (ft)	2,781	kn (km/h; mph)	2001	Tirrenia	Italy
Janas	m (ft)	2,700	kn (km/h; mph)	2001	Tirrenia	Italy
Athara	m (ft)	2,700	kn (km/h; mph)	2001	Tirrenia	Italy
Star	m (ft)	1,900	kn (km/h; mph)	2007	Tallink	Estonia
Norröna	m (ft)	1,482	kn (km/h; mph)	2003	Smyril Line	Faroe Islands
