Country	City	Festival name	Year(s)	Type	BIE recognised
Netherlands	Rotterdam	Floriade	1960	International	Yes
Netherlands	Amsterdam	Floriade	1972	International	Yes
Netherlands	Amsterdam	Floriade	1982	International	Yes
United Kingdom	Liverpool	International Garden Festival	1984	International	Yes
Japan	Osaka	Expo '90	1990	International	Yes
Netherlands	The Hague	Floriade	1992	International	Yes
United States of America	Columbus, Ohio	AmeriFlora '92	1992	National	No
China	Kunming	1999 World Horticultural Exposition	1999	International	Yes
Netherlands	Haarlemmermeer	Floriade	2002	International	Yes
France	Dijon	Florissimo	2005	National	No
China	Shenyang	International Horticultural Exposition 2006	2006	International	No
Singapore	Singapore	Singapore Garden Festival	2006 and biennially since	International	No
Thailand	Chiang Mai	Royal Flora Ratchaphruek	2006–2007	International	Yes
France	Dijon	Florissimo	2010	National	No
Taiwan	Taipei	Taipei International Flora Exposition	2010–2011	International	No
Australia	Melbourne	Melbourne International Flower and Garden Show	2011	International	No
China	Xi'an	International Horticultural Exposition 2011	2011	International	No
Netherlands	Venlo	Floriade 2012	2012	International	Yes
South Korea	Suncheon	Suncheon International Garden Expo(Korea)	2013	International	Yes
China	Qingdao	International Horticultural Exposition 2014	2014	International	No
France	Dijon	Florissimo	2015	National	No
Turkey	Antalya	Expo 2016	2016	International	No
