Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Barrow	42	9	7	69	35	+34	87
2	Hyde United	42	8	10	77	44	+33	80
3	Witton Albion	42	13	7	67	39	+28	79
4	Bangor City	42	10	10	77	48	+29	76
5	Marine	42	7	12	69	48	+21	76
6	Goole Town	42	7	13	75	60	+15	73
7	Fleetwood Town	42	16	7	58	44	+14	73
8	Rhyl	42	10	14	75	65	+10	64
9	Frickley Athletic	42	10	15	64	53	+11	61
10	Mossley	42	9	16	56	58	−2	60
11	South Liverpool	42	13	14	65	57	+8	58
12	Caernarfon Town	42	10	17	49	63	−14	55
13	Matlock Town	42	5	21	65	73	−8	53
14	Southport	42	12	17	66	52	+14	51
15	Buxton	42	14	16	61	63	−2	50
16	Morecambe	42	9	20	55	60	−5	47 2
17	Gainsborough Trinity	42	11	19	56	73	−17	47
18	Shepshed Charterhouse	42	8	20	49	60	−11	44 3
19	Stalybridge Celtic	42	13	20	46	81	−35	40
20	Horwich RMI	42	14	21	42	70	−28	35
21	Gateshead	42	13	22	36	70	−34	34
22	Worksop Town	42	5	31	42	103	−61	23
