Series ^	Model	CPU clock ( MHz )	CPU cores	TDP ( W )	L2 cache (KiB)	Radeon cores	DDR3 speed
C-Series	C-30	1000	1	0 9	512	80	1066
C-Series	C-50	1000	2	0 9	2*512	80	1066
C-Series	C-60	1000/1333 (turbo)	2	0 9	2*512	80	1066
C-Series	C-70	1000/1333 (turbo)	2	0 9	2*512	80	1066
E-Series	E-240	1500	1	18	512	80	1066
E-Series	E-300	1300	2	18	2*512	80	1066
E-Series	E-350	1600	2	18	2*512	80	1066
E-Series	E-450	1650	2	18	2*512	80	1333
E-Series	E1-1200	1400	2	18	2*512	80	1066
E-Series	E1-1500	1480	2	18	2*512	80	1066
E-Series	E2-1800	1700	2	18	2*512	80	1333
E-Series	E2-2000	1750	2	18	2*512	80	1333
G-Series	T-24L	0 800	1	0 5	512	80	1066
G-Series	T-30L	1400	1	18	512	80	1333
G-Series	T-40N	1000	2	0 9	2*512	80	1066
G-Series	T-44R	1200	1	0 9	512	80	1066
G-Series	T-48L	1400	2	18	2*512	80	1066
G-Series	T-48N	1400	2	18	2*512	80	1066
G-Series	T-52R	1500	1	18	512	80	1066
G-Series	T-56N	1600	2	18	2*512	80	1066
Z-Series	Z-01	1000	2	5.9	2*512	80	1066
Z-Series	Z-60	1000	2	4.5	2*512	80	1066
