Round	Date	City and venue	Winner	Runner-up	3rd placed	4th placed	Results
1	April 24	Leszno , Poland Alfred Smoczyk Stadium	Jason Crump	Jarosław Hampel	Emil Sayfutdinov	Janusz Kołodziej	results
2	May 8	Gothenburg , Sweden Ullevi	Kenneth Bjerre	Tomasz Gollob	Andreas Jonsson	Greg Hancock	results
3	May 22	Prague , Czech Republic Markéta Stadium	Tomasz Gollob	Nicki Pedersen	Jarosław Hampel	Magnus Zetterström	results
4	June 5	Copenhagen , Denmark Parken Stadium	Jarosław Hampel	Tomasz Gollob	Chris Harris	Hans N. Andersen	results
5	June 19	Toruń , Poland MotoArena Toruń	Tomasz Gollob	Rune Holta	Jarosław Hampel	Jason Crump	results
6	July 10	Cardiff , Great Britain Millennium Stadium	Chris Holder	Jason Crump	Jarosław Hampel	Hans N. Andersen	results
7	August 14	Målilla , Sweden G&B Stadium	Rune Holta	Jason Crump	Tomasz Gollob	Fredrik Lindgren	results
8	August 28 August 29	Goričan , Croatia Stadium Milenium	Greg Hancock	Chris Harris	Jason Crump	Fredrik Lindgren	results
9	September 11	Vojens , Denmark Speedway Center	Tomasz Gollob	Kenneth Bjerre	Jason Crump	Nicki Pedersen	results
10	September 25	Terenzano , Italy Pista Olimpia	Tomasz Gollob	Chris Harris	Greg Hancock	Nicki Pedersen	results
