Pos	Grid	Car	Driver	Constructor	Manufacturer	Laps	Laps Led	Points
1	3	42	Juan Pablo Montoya	Earnhardt Ganassi Racing	Chevrolet	90	74	195
2	5	2	Kurt Busch	Penske Racing	Dodge	90	0	170
3	11	47	Marcos Ambrose	JTG Daugherty Racing	Toyota	90	8	170
4	4	43	A.J. Allmendinger	Richard Petty Motorsports	Ford	90	0	160
5	1	99	Carl Edwards	Roush Fenway Racing	Ford	90	0	155
6	2	1	Jamie McMurray	Earnhardt Ganassi Racing	Chevrolet	90	5	155
7	6	14	Tony Stewart	Stewart Haas Racing	Chevrolet	90	0	146
8	10	18	Kyle Busch	Joe Gibbs Racing	Toyota	90	0	142
9	22	31	Jeff Burton	Richard Childress Racing	Chevrolet	90	0	138
10	16	24	Jeff Gordon	Hendrick Motorsports	Chevrolet	90	0	134
11	20	29	Kevin Harvick	Richard Childress Racing	Chevrolet	90	0	130
12	19	39	Ryan Newman	Stewart Haas Racing	Chevrolet	90	1	132
13	31	17	Matt Kenseth	Roush Fenway Racing	Ford	90	0	124
14	12	77	Sam Hornish, Jr.	Penske Racing	Dodge	90	0	121
15	25	56	Martin Truex, Jr.	Michael Waltrip Racing	Toyota	90	0	118
16	23	98	Paul Menard	Richard Petty Motorsports	Ford	90	0	115
17	36	9	Kasey Kahne	Richard Petty Motorsports	Ford	90	0	112
18	33	71	Andy Lally	TRG Motorsports	Chevrolet	90	0	109
19	24	5	Mark Martin	Hendrick Motorsports	Chevrolet	90	2	111
20	32	12	Brad Keselowski	Penske Racing	Dodge	90	0	103
21	17	26	Patrick Carpentier	Latitude 43 Motorsports	Ford	90	0	100
22	28	13	Max Papis	Germain Racing	Toyota	90	0	97
23	30	0	David Reutimann	Michael Waltrip Racing	Toyota	90	0	94
24	7	16	Greg Biffle	Roush Fenway Racing	Ford	90	0	91
25	35	6	David Ragan	Roush Fenway Racing	Ford	90	0	88
26	40	88	Dale Earnhardt, Jr.	Hendrick Motorsports	Chevrolet	90	0	85
27	43	38	David Gilliland	Front Row Motorsports	Ford	90	0	82
28	9	48	Jimmie Johnson	Hendrick Motorsports	Chevrolet	90	0	79
29	38	19	Elliott Sadler	Richard Petty Motorsports	Ford	90	0	76
30	41	37	Travis Kvapil	Front Row Motorsports	Ford	90	0	73
31	42	34	Kevin Conway	Front Row Motorsports	Ford	90	0	70
32	34	33	Clint Bowyer	Richard Childress Racing	Chevrolet	89	0	67
33	18	20	Joey Logano	Joe Gibbs Racing	Toyota	88	0	64
34	27	78	Regan Smith	Furniture Row Racing	Chevrolet	84	0	61
35	29	9	Bobby Labonte	Phoenix Racing	Chevrolet	84	0	58
36	15	7	Robby Gordon	Robby Gordon Motorsports	Toyota	72	0	55
37	14	11	Denny Hamlin	Joe Gibbs Racing	Toyota	70	0	52
38	13	83	Boris Said	Red Bull Racing Team	Toyota	65	0	49
39	37	87	Joe Nemechek	NEMCO Motorsports	Toyota	54	0	46
40	21	36	Ron Fellows	Tommy Baldwin Racing	Chevrolet	46	0	43
41	39	7	P.J. Jones	Robby Gordon Motorsports	Toyota	36	0	40
42	26	55	Michael McDowell	Prism Motorsports	Toyota	35	0	37
43	8	82	Scott Speed	Red Bull Racing Team	Toyota	28	0	34
