Category	Film	Director(s)	Country	Nominating Festival
2005	2005	2005	2005	2005
Short Film 2005 Prix UIP	Undressing My Mother	Ken Wardrop	Ireland	Prix UIP Tampere
Short Film 2005 Prix UIP	Little Terrorist	Ashvin Kumar	United Kingdom	Prix UIP Ghent
Short Film 2005 Prix UIP	Rendevú	Ferenc Cakó	Hungary	Prix UIP Valladolid
Short Film 2005 Prix UIP	Rain is Falling	Holger Ernst	Germany	Prix UIP Valladolid
Short Film 2005 Prix UIP	Flatlife	Jonas Geirnaert	Belgium	Prix UIP Angers
Short Film 2005 Prix UIP	Hoi Maya	Claudia Lorenz	Switzerland	Prix UIP Berlin
Short Film 2005 Prix UIP	Toz ( Dust )	Halit Fatih Kizilgok	Turkey	Prix UIP Cracow
Short Film 2005 Prix UIP	Bawke	Hisham Zaman	Norway	Prix UIP Grimstad
Short Film 2005 Prix UIP	A Serpente	Sandro Aguilar	Portugal	Prix UIP Vila do Conde
Short Film 2005 Prix UIP	Scen Nr. 6882 Ur Mitt Liv	Ruben Östlund	Sweden	Prix UIP Edinburgh
Short Film 2005 Prix UIP	Prva Plata	Alen Drljević	Bosnia and Herzegovina	Prix UIP Sarajevo
Short Film 2005 Prix UIP	Butterflies	Max Jacoby	Luxembourg	Prix UIP Venezia
Short Film 2005 Prix UIP	Minotauromaquia, Pablo en el Laberinto	Juan Pablo Etcheverry	Spain	Prix UIP Drama
