Season	Tier	League	Postseason	European competitions
1997–98	2	2. BBL	–	–
1998–99	2	2. BBL	Promotion playoffs	–
1999–00	1	Bundesliga	Quarterfinalist	–
2000–01	1	Bundesliga	Quarterfinalist	Played Korac Cup
2001–02	1	Bundesliga	Relegated	–
2002–03	1	Bundesliga	–	–
2003–04	1	Bundesliga	–	FIBA Europe Cup champion
2004–05	3	Oberliga	Promoted	–
2005–06	2	2. BBL	–	–
2006–07	2	2. BBL	–	–
2007–08	2	Pro A	–	–
2008–09	2	Pro A	Promoted	–
2009–10	1	Bundesliga	–	–
2010–11	1	Bundesliga	Relegated	–
2011–12	2	Pro A	Promoted	–
2012–13	1	Bundesliga	–	–
