Rank	Name	Nation	Placings	Figures	Free	Total
1	Jeannette Altwegg	United Kingdom	8	114.73	77.99	192.72
2	Jacqueline du Bief	France	14	106.67	82.00	188.67
3	Sonya Klopfer	United States	23	104.90	80.79	185.69
4	Suzanne Morrow	Canada	29	105.67	78.96	184.63
5	Barbara Watt	United Kingdom	42	104.67	74.58	179.25
6	Tenley Albright	United States	43	99.25	79.81	179.06
7	Andra McLauchlin	United States	47	100.43	77.87	178.30
8	Margaret Anne Graham	United States	53	100.10	76.89	176.99
9	Valda Osborn	United Kingdom	56	98.03	76.41	174.44
10	Gundi Busch	West Germany	83	88.67	76.28	164.95
11	Frances Dorsey	United States	85	91.70	73.12	164.82
12	Helga Dudzinski	West Germany	*89	87.62	75.31	162.93
13	Elizabeth Hiscock	Canada	*89	91.88	70.93	162.81
14	Erika Kraft	West Germany	87	88.63	74.70	163.33
15	Susi Wirz	Switzerland	94	91.47	69.59	161.06
16	Lotte Schwenk	Austria	116	84.82	66.92	151.74
17	Yolande Jobin	Switzerland	118	85.88	64.00	149.88
18	Ghislaine Kopf	Switzerland	129	85.70	59.98	145.68
19	Yvonne Sugden	United Kingdom	131	80.30	65.21	145.51
20	Inge Jell	West Germany	141	74.85	62.05	136.90
21	Etsuko Inada	Japan	144	81.29	54.02	135.31
22	Alida Elisabeth Stoppelman	Netherlands	150	77.56	53.70	131.26
23	Grete Dunst	Austria	161	70.45	47.33	117.78
