Week	Date	Opponent	Result	Game site	Attendance
1	Bye	Bye	Bye	Bye	Bye
2	1966-09-09	at Miami Dolphins	W 19–14	Miami Orange Bowl	34,402
3	1966-09-18	Houston Oilers	W 52–13	Shea Stadium	54,681
4	1966-09-25	at Denver Broncos	W 16–7	Bears Stadium	29,878
5	1966-10-02	at Boston Patriots	T 24–24	Fenway Park	27,255
6	1966-10-08	San Diego Chargers	W 17–16	Shea Stadium	63,497
7	1966-10-16	at Houston Oilers	L 24–0	Rice Stadium	30,823
8	1966-10-23	Oakland Raiders	L 24–21	Shea Stadium	58,135
9	1966-10-30	Buffalo Bills	L 33–23	Shea Stadium	61,552
10	Bye	Bye	Bye	Bye	Bye
11	1966-11-13	at Buffalo Bills	L 14–3	War Memorial Stadium	45,738
12	1966-11-20	Miami Dolphins	W 30–13	Shea Stadium	58,664
13	1966-11-27	Kansas City Chiefs	L 32–24	Shea Stadium	60,318
14	1966-12-03	at Oakland Raiders	T 28–28	Oakland-Alameda County Coliseum	32,144
15	1966-12-11	at San Diego Chargers	L 42–27	Balboa Stadium	25,712
16	1966-12-17	Boston Patriots	W 38–28	Shea Stadium	58,921
