Rider	Manufacturer	Laps	Time	Grid
Casey Stoner	Ducati	27	40:56.643	1
Valentino Rossi	Yamaha	27	+6.504	12
Nicky Hayden	Honda	27	+7.205	3
Jorge Lorenzo	Yamaha	27	+11.500	2
Shinya Nakano	Honda	27	+11.914	9
James Toseland	Yamaha	27	+12.243	5
Andrea Dovizioso	Honda	27	+12.780	8
Colin Edwards	Yamaha	27	+25.920	7
Randy de Puniet	Honda	27	+26.037	4
Loris Capirossi	Suzuki	27	+26.799	11
Toni Elias	Ducati	27	+27.027	13
Anthony West	Kawasaki	27	+47.808	18
John Hopkins	Kawasaki	27	+48.333	16
Sylvain Guintoli	Ducati	27	+48.899	14
Chris Vermeulen	Suzuki	27	+48.935	15
Marco Melandri	Ducati	27	+1:11.767	17
Alex de Angelis	Honda	0	Accident	10
Dani Pedrosa	Honda	0	Accident	6
