Pick #	MLS Team	Player	Position	Affiliation
51	Chicago Fire	Ryan McGowan	M	Seton Hall University
52	Columbus Crew	Matthew Haefner	GK	University of Pennsylvania
53	Los Angeles Galaxy	Alan Gordon	F	Oregon State University
54	Dallas Burn	Edwin Miranda	D	Cal State Northridge
55	Colorado Rapids	John Pulido	M	Florida International University
56	New England Revolution	Félix Brillant	F	Franklin Pierce College
57	Los Angeles Galaxy	Chris Aloisi	D	Syracuse University
58	New England Revolution	Andy Dorman	M	Boston University
59	Chicago Fire	Tony McManus	D	UAB
60	MetroStars	Jeff Parke	D	Drexel University
