Player	Touchdowns (5 points)	Extra points 1 point	Field goals (4 points)	Safeties (2 points)	Total Points
Tom Hammond	15	35	2	0	118
Joe Curtis	15	30	0	0	105
John Garrels	7	8	0	0	43
Paul Magoffin	6	0	0	0	30
Harold Weeks	6	0	0	0	30
William Dennison Clark	4	0	0	0	20
Walter Graham	3	0	0	0	15
Jay Mack Love	3	0	0	0	15
Alfred Barlow	3	0	0	0	15
Frank Longman	3	0	0	0	15
William Embs	3	0	0	0	15
Harry Workman	3	0	0	0	15
Ted Stuart	2	0	0	0	10
Mason Rumney	2	0	0	0	10
Henry Schulte	2	0	0	0	5
Germany Schultz	1	0	0	0	5
Fred Norcross	1	0	0	0	5
Harry Patrick	1	0	0	0	5
Lewis Dunlap	1	0	0	0	5
na	0	0	0	1	2
