Date	Tournament	Winning score	To par	Margin of victory	Runner(s)-up
Nov 28, 1971	Sea Pines Heritage Classic	68-73-68-70=279	−5	1 stroke	Bob Lunn
Sep 16, 1973	Sea Pines Heritage Classic	69-66-65-72=272	−12	5 strokes	Jerry Heard , Grier Jones
Jun 16, 1974	U.S. Open	73-70-71-73=287	+7	2 strokes	Forrest Fezler
Jun 1, 1975	Atlanta Classic	66-69-68-68=271	−17	4 strokes	Tom Watson
Jun 29, 1975	Western Open	71-68-71-73=283	−1	1 stroke	Bobby Cole
Feb 22, 1976	Glen Campbell-Los Angeles Open	69-69-66-68=272	−12	2 strokes	Tom Watson
Mar 7, 1976	Florida Citrus Open	74-66-64-66=270	−18	Playoff	Kermit Zarley
May 29, 1977	Atlanta Classic	70-70-66-67=273	−15	1 stroke	Steve Veriato
Aug 28, 1977	Colgate Hall of Fame Golf Classic	65-62-69-68=264	−20	5 strokes	Leonard Thompson
Oct 16, 1977	San Antonio Texas Open	68-67-64-67=266	−14	2 strokes	Miller Barber
Jun 17, 1979	U.S. Open	74-68-67-75=284	Even	2 strokes	Jerry Pate , Gary Player
Feb 14, 1981	Hawaiian Open	68-66-62-69=265	−23	6 strokes	Don January
Aug 23, 1981	Buick Open	65-73-67-72=277	−11	Playoff	Bobby Clampett , Peter Jacobsen , Gil Morgan
Mar 14, 1982	Honda Inverrary Classic	65-71-67-66=269	−19	1 stroke	George Burns , Tom Kite
May 29, 1983	Memorial Tournament	71-71-70-69=281	−7	1 stroke	Ben Crenshaw , David Graham
Feb 5, 1984	Bing Crosby National Pro-Am	69-69-68-72=278	−10	Playoff	Jim Nelford
May 26, 1985	Memorial Tournament	72-67-68-67=274	−14	1 stroke	Lanny Wadkins
Jun 18, 1990	U.S. Open	69-70-74-67=280	−8	Playoff	Mike Donald
Jun 24, 1990	Buick Classic	66-69-68-66=269	−15	2 strokes	Paul Azinger
Apr 17, 1994	MCI Heritage Golf Classic	68-65-65-68=266	−18	1 stroke	Greg Norman
