Driver	Constructor	Laps	Time/Retired	Grid
Rubens Barrichello	Ferrari	45	1:25:34.418	18
Mika Häkkinen	McLaren - Mercedes	45	+7.452	4
David Coulthard	McLaren - Mercedes	45	+21.168	1
Jenson Button	Williams - BMW	45	+22.685	16
Mika Salo	Sauber - Petronas	45	+27.112	15
Pedro de la Rosa	Arrows - Supertec	45	+29.080	5
Ralf Schumacher	Williams - BMW	45	+30.898	14
Jacques Villeneuve	BAR - Honda	45	+47.537	9
Jarno Trulli	Jordan - Mugen-Honda	45	+50.901	6
Eddie Irvine	Jaguar - Cosworth	45	+1:19.664	10
Gastón Mazzacane	Minardi - Fondmetal	45	+1:29.504	21
Nick Heidfeld	Prost - Peugeot	40	Alternator	13
Heinz-Harald Frentzen	Jordan - Mugen-Honda	39	Gearbox	17
Jos Verstappen	Arrows - Supertec	39	Spun off	11
Ricardo Zonta	BAR - Honda	37	Spun off	12
Marc Gené	Minardi - Fondmetal	33	Engine	22
Alexander Wurz	Benetton - Playlife	31	Electrical	7
Pedro Diniz	Sauber - Petronas	29	Collision	19
Jean Alesi	Prost - Peugeot	29	Collision	20
Johnny Herbert	Jaguar - Cosworth	12	Gearbox	8
Michael Schumacher	Ferrari	0	Collision	2
Giancarlo Fisichella	Benetton - Playlife	0	Collision	3
Source:	Source:	Source:	Source:	Source:
