Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
South African Grand Prix	Kyalami	7 March	Jackie Stewart	Jack Brabham John Surtees	Jack Brabham	Brabham - Ford	G	Report
Spanish Grand Prix	Jarama	19 April	Jack Brabham	Jack Brabham	Jackie Stewart	March - Ford	D	Report
Monaco Grand Prix	Monaco	10 May	Jackie Stewart	Jochen Rindt	Jochen Rindt	Lotus - Ford	F	Report
Belgian Grand Prix	Spa-Francorchamps	7 June	Jackie Stewart	Chris Amon	Pedro Rodríguez	BRM	D	Report
Dutch Grand Prix	Zandvoort	21 June	Jochen Rindt	Jacky Ickx	Jochen Rindt	Lotus - Ford	F	Report
French Grand Prix	Charade	5 July	Jacky Ickx	Jack Brabham	Jochen Rindt	Lotus - Ford	F	Report
British Grand Prix	Brands Hatch	18 July	Jochen Rindt	Jack Brabham	Jochen Rindt	Lotus - Ford	F	Report
German Grand Prix	Hockenheimring	2 August	Jacky Ickx	Jacky Ickx	Jochen Rindt	Lotus - Ford	F	Report
Austrian Grand Prix	Österreichring	16 August	Jochen Rindt	Jacky Ickx Clay Regazzoni	Jacky Ickx	Ferrari	F	Report
Italian Grand Prix	Monza	6 September	Jacky Ickx	Clay Regazzoni	Clay Regazzoni	Ferrari	F	Report
Canadian Grand Prix	Mont-Tremblant	20 September	Jackie Stewart	Clay Regazzoni	Jacky Ickx	Ferrari	F	Report
United States Grand Prix	Watkins Glen	4 October	Jacky Ickx	Jacky Ickx	Emerson Fittipaldi	Lotus - Ford	F	Report
Mexican Grand Prix	Hermanos Rodriguez	25 October	Clay Regazzoni	Jacky Ickx	Jacky Ickx	Ferrari	F	Report
