Date	Visitor	Score	Home	Leading scorer	Attendance	Record
November 1	Washington	97–94	Cleveland	Larry Hughes (27)	20,562	1–0
November 3	Cleveland	88–81	San Antonio	LeBron James (35)	18,797	2–0
November 4	Cleveland	88–92	Charlotte	Drew Gooden (21)	19,147	2–1
November 7	Atlanta	95–104	Cleveland	LeBron James(34)	20,562	2–2
November 9	Chicago	113–94	Cleveland	Drew Gooden (20)	19,947	3–2
November 11	Boston	94–93	Cleveland	LeBron James (38)	20,562	4–2
November 13	Cleveland	102–96	New York	James, D.Jones (29)	18,468	5–2
November 15	Portland	100–87	Cleveland	LeBron James (32)	20,096	6–2
November 17	Minnesota	92–76	Cleveland	LeBron James (37)	20,562	7–2
November 18	Cleveland	99–111	Washington	LeBron James (20)	20,173	7–3
November 21	Memphis	97–94	Cleveland	Drew Gooden (22)	20–562	8–3
November 22	Cleveland	87–95	Toronto	LeBron James (30)	19,800	8–4
November 24	Cleveland	87–97	Indiana	LeBron James (30)	18,165	8–5
November 25	Philadelphia	108–95	Cleveland	LeBron James (25)	20,562	9–5
November 29	New York	98–101	Cleveland	LeBron James (27)	20,192	9–6
