Date	Track	Race	Purse	Finish	Time	Last 1/4	Odds	Driver	Trainer
29 November 2008	Meadowlands	Breeder's Crown F	$500 000	1/1T	1:48.3	26.3	*0.20	Paul MacDonell	Brent MacGrath
15 November 2008	Woodbine	D-OSS-SF	$300 000	1/11T	1:50.3	29.3	*0.05	Paul MacDonell	Brent MacGrath
25 October 2008	Yonkers	Messenger	$650 000	1/NK	1:52.1	27.4	*0.30	Paul MacDonell	Brent MacGrath
4 October 2008	Red Mile	Tattersalls	$293 000	1/3H	1:47.4	26.2	*0.05	Paul MacDonell	Brent MacGrath
27 September 2008	Red Mile	Bluegrass	$134 000	1/7H	1:46.4	27.2	*0.05	Paul MacDonell	Brent MacGrath
6 September 2008	Mohawk	D-Simcoe	$132 326	1/1T	1:50.1	29.4	*0.05	Paul MacDonell	Brent MacGrath
17 August 2008	Flamboro	Confed F	$493 000	1/4	1:49.2	26.3	*0.15	Paul MacDonell	Brent MacGrath
17 August 2008	Flamboro	Confed E	$50 000	1/1T	1:51.3	26.4	*0.05	Paul MacDonell	Brent MacGrath
10 August 2008	Mohawk	D-OSS-GF	$180 000	1/4T	1:49.2	27.4	*0.05	Paul MacDonell	Brent MacGrath
3 August 2008	Mohawk	3Yr Open	$50 000	1/2T	1:49.0	26.3	*0.05	Paul MacDonell	Brent MacGrath
19 July 2008	Meadowlands	M Pace F	$1 100 000	2/NK	1:47.0	27.4	*0.10	Paul MacDonell	Brent MacGrath
12 July 2008	Meadowlands	M Pace E	$50 000	1/4H	1:48.3	26.2	*0.20	Paul MacDonell	Brent MacGrath
14 June 2008	Mohawk	D-NA Cup F	$1 500 000	1/2T	1:49.0	27.0	*0.40	Paul MacDonell	Brent MacGrath
7 June 2008	Mohawk	D-NA Cup E	$50 000	1/2	1:49.0	27.1	*0.30	Paul MacDonell	Brent MacGrath
31 May 2008	Mohawk	D-Burlington	$100 000	1/1H	1:51.3	28.1	*0.25	Paul MacDonell	Brent MacGrath
5 May 2008	Mohawk	QUAL	$0	1/10T	1:51.1	27.1	NB	Paul MacDonell	Brent MacGrath
15 September 2007	Mohawk	D-Nasagaweya	$145 300	1/2	1:51.4	28.2	*0.10	Paul MacDonell	Jean Louis Arsenault
8 September 2007	Mohawk	D-Champlain	$115 884	1/3Q	1:51.0	26.0	*0.05	Paul MacDonell	Jean Louis Arsenault
1 September 2007	Mohawk	D-Metro	$1 000 000	1/2	1:49.3	27.4	*1.75	Paul MacDonell	Jean Louis Arsenault
25 August 2007	Mohawk	D-Metro E	$40 000	1/3H	1:52.1	27.4	5.15	Paul MacDonell	Jean Louis Arsenault
6 August 2007	Grand River	Battle of Waterloo	$300 000	1/2Q	1:55.0	29.0	*0.85	Paul MacDonell	Jean Louis Arsenault
30 July 2007	Grand River	Battle of Waterloo E	$24 000	1/3	1:54.2	28.0	1.60	Paul MacDonell	Jean Louis Arsenault
8 July 2007	Truro	QUAL	$0	1/10	2:00.1	28.2	NB	Brent MacGrath	Brent MacGrath
1 July 2007	Truro	QUAL	$0	1/5Q	2:02.1	29.0	NB	Brent MacGrath	Brent MacGrath
24 June 2007	Truro	QUAL	$0	1/3Q	2:04.3	30.1	NB	Brent MacGrath	Brent MacGrath
