Year	Tournament	Venue	Result	Event
1998	World Junior Championships	Annecy , France	5th	200 m
1998	World Junior Championships	Annecy , France	3rd	4x100 m relay
1999	World Youth Championships	Bydgoszcz , Poland	2nd	200 m
1999	World Youth Championships	Bydgoszcz , Poland	6th	100 m hurdles
2000	World Junior Championships	Santiago , Chile	3rd	400 m hurdles
2000	World Junior Championships	Santiago , Chile	2nd	4x400 m relay
2002	World Junior Championships	Kingston , Jamaica	2nd	400 m hurdles
2006	Central American and Caribbean Games	Cartagena , Colombia	3rd	400 m hurdles
2006	Central American and Caribbean Games	Cartagena , Colombia	2nd	4x400 m relay
2007	World Athletics Final	Stuttgart , Germany	3rd	400 m hurdles
2008	Olympic Games	Beijing, China	1st	400 m hurdles
2008	World Athletics Final	Stuttgart, Germany	1st	400 m hurdles
2009	World Championships	Berlin, Germany	1st	400 m hurdles
2009	IAAF World Athletics Final	Thesaloniki, Greece	1st	400 m hurdles
