Rnd	Circuit	LMP Winning Team	LMPC Winning Team	GT Winning Team	GTC Winning Team	Results
1	Sebring	#07 Team Peugeot Total	#55 Level 5 Motorsports	#62 Risi Competizione	#81 Alex Job Racing	Results
1	Sebring	Marc Gené Alexander Wurz Anthony Davidson	Scott Tucker Christophe Bouchut Mark Wilkins	Jaime Melo Gianmaria Bruni Pierre Kaffer	Butch Leitzinger Leh Keen Juan González	Results
2	Long Beach	#1 Patrón Highcroft Racing	#99 Green Earth Team Gunnar	#45 Flying Lizard Motorsports	#81 Alex Job Racing	Results
2	Long Beach	David Brabham Simon Pagenaud	Gunnar Jeannette Elton Julian	Patrick Long Jörg Bergmeister	Butch Leitzinger Juan González	Results
3	Laguna Seca	#1 Patrón Highcroft Racing	#55 Level 5 Motorsports	#45 Flying Lizard Motorsports	#54 Black Swan Racing	Results
4	Miller	#1 Patrón Highcroft Racing	#55 Level 5 Motorsports	#62 Risi Competizione	#54 Black Swan Racing	Results
4	Miller	David Brabham Simon Pagenaud	Scott Tucker Christophe Bouchut	Jaime Melo Gianmaria Bruni	Tim Pappas Jeroen Bleekemolen	Results
5	Lime Rock	#6 Muscle Milk Team Cytosport	#99 Green Earth Team Gunnar	#45 Flying Lizard Motorsports	#63 TRG	Results
5	Lime Rock	Greg Pickett Klaus Graf	Gunnar Jeannette Elton Julian	Jörg Bergmeister Patrick Long	Henri Richard Andy Lally	Results
6	Mid-Ohio	#16 Dyson Racing	#55 Level 5 Motorsports	#62 Risi Competizione	#54 Black Swan Racing	Results
6	Mid-Ohio	Chris Dyson Guy Smith	Scott Tucker Christophe Bouchut	Jaime Melo Gianmaria Bruni	Tim Pappas Jeroen Bleekemolen	Results
7	Road America	#8 Drayson Racing	#99 Green Earth Team Gunnar	#90 BMW Rahal Letterman Racing	#54 Black Swan Racing	Results
7	Road America	Paul Drayson Jonny Cocker	Gunnar Jeannette Elton Julian	Dirk Müller Joey Hand	Tim Pappas Jeroen Bleekemolen	Results
8	Mosport	#6 Muscle Milk Team Cytosport	#99 Green Earth Team Gunnar	#45 Flying Lizard Motorsports	#88 Velox Motorsports	Results
8	Mosport	Romain Dumas Klaus Graf	Gunnar Jeannette Elton Julian	Patrick Long Jörg Bergmeister	Shane Lewis Lawson Aschenbach	Results
9	Road Atlanta	#08 Team Peugeot Total	#95 Level 5 Motorsports	#4 Corvette Racing	#63 TRG	Results
