Year	Under-11	Under-13	Under-15	Under-17	Under-19
1999	unknown	unknown	unknown	Jacqui Inward	Leong Siu Lynn
2000	Was not played	Emery Maine	Lily Lorentzen	Lauren McCrery	Michelle Quibell
2001	Was not played	Emily Park	Alisha Turner	Jennifer Blumberg	Ruchika Kumar
2002	Was not played	Emily Park	Rebecca Dudley	Britt Hebden	Emma Beddoes
2003	Was not played	Laura Gemmell	Emily Park	Neha Kumar	Lily Lorentzen
2004	Was not played	Olivia Blatchford	Emily Park	Kristen Lange	Jenna Gates
2005	Was not played	Skyler Bouchard	Laura Gemmell	Emily Park	Neha Kumar
2006	Was not played	Amy Smedira	Vidya Rajan	Laura Gemmel	Kristen Lange
2007	Reeham Sedky	Claudia Regio	Amanda Sobhy	Salma Nassar	Laura Gemmell
2008	Helen Teegan	Reeham Sedky	Maria Elena Ubina	Amanda Sobhy	Laura Gemmell
2009	Elena Wagenmans	Reeham Sedky	Olivia Fiechter	Maria Elena Ubina	Olivia Blatchford
2010	Elena Wagenmans	Helen Teegan	Reeham Sedky	Olivia Fiechter	Amanda Sobhy
2011	Jamila Abul Enin	Malak Fayed	Reeham Sedky	Sue Ann Yong	Maria Elena Ubina
