Date	Visitor	Score	Home	Record
November 3	Boston Bruins	3–2	Toronto Maple Leafs	1–0–0
November 6	Boston Bruins	4–1	Detroit Red Wings	2–0–0
November 13	Boston Bruins	1–2	New York Americans	2–1–0
November 15	Toronto Maple Leafs	1–1	Boston Bruins	2–1–1
November 20	Detroit Red Wings	1–4	Boston Bruins	3–1–1
November 22	New York Rangers	2–4	Boston Bruins	4–1–1
November 27	New York Americans	2–8	Boston Bruins	5–1–1
December 1	Boston Bruins	0–2	Montreal Canadiens	5–2–1
December 4	Boston Bruins	5–0	Chicago Black Hawks	6–2–1
December 6	Chicago Black Hawks	0–2	Boston Bruins	7–2–1
December 11	Boston Bruins	3–0	New York Rangers	8–2–1
December 13	Montreal Canadiens	2–3	Boston Bruins	9–2–1
December 15	Boston Bruins	1–0	Montreal Canadiens	10–2–1
December 18	Boston Bruins	2–0	Detroit Red Wings	11–2–1
December 20	New York Americans	0–3	Boston Bruins	12–2–1
December 25	New York Rangers	1–0	Boston Bruins	12–3–1
December 27	Toronto Maple Leafs	2–8	Boston Bruins	13–3–1
December 29	Boston Bruins	2–4	New York Americans	13–4–1
December 31	Boston Bruins	1–2	New York Rangers	13–5–1
January 1	Detroit Red Wings	1–4	Boston Bruins	14–5–1
January 3	New York Americans	1–2	Boston Bruins	15–5–1
January 5	Boston Bruins	2–1	Chicago Black Hawks	16–5–1
January 7	Boston Bruins	0–2	Toronto Maple Leafs	16–6–1
January 10	Chicago Black Hawks	1–3	Boston Bruins	17–6–1
January 17	Toronto Maple Leafs	1–2	Boston Bruins	18–6–1
January 19	Boston Bruins	0–1	Montreal Canadiens	18–7–1
January 22	Boston Bruins	5–0	Detroit Red Wings	19–7–1
January 24	Montreal Canadiens	4–6	Boston Bruins	20–7–1
January 29	Boston Bruins	3–2	New York Americans	21–7–1
January 31	New York Americans	2–2	Boston Bruins	21–7–2
February 2	Boston Bruins	2–1	Toronto Maple Leafs	22–7–2
February 5	Boston Bruins	3–0	Chicago Black Hawks	23–7–2
February 7	Toronto Maple Leafs	0–2	Boston Bruins	24–7–2
February 9	Boston Bruins	4–2	New York Rangers	25–7–2
February 12	New York Rangers	3–2	Boston Bruins	25–8–2
February 14	Detroit Red Wings	1–2	Boston Bruins	26–8–2
February 16	Boston Bruins	5–1	Montreal Canadiens	27–8–2
February 19	Boston Bruins	1–4	Detroit Red Wings	27–9–2
February 21	Chicago Black Hawks	2–8	Boston Bruins	28–9–2
February 25	Boston Bruins	0–1	Toronto Maple Leafs	28–10–2
February 26	Boston Bruins	5–1	Chicago Black Hawks	29–10–2
February 28	Montreal Canadiens	2–6	Boston Bruins	30–10–2
March 5	New York Rangers	3–5	Boston Bruins	31–10–2
March 7	Detroit Red Wings	0–3	Boston Bruins	32–10–2
March 9	Boston Bruins	9–6	New York Americans	33–10–2
March 12	Boston Bruins	4–2	New York Rangers	34–10–2
March 14	Chicago Black Hawks	2–4	Boston Bruins	35–10–2
March 19	Montreal Canadiens	5–7	Boston Bruins	36–10–2
