Outcome	Date	Championship	Surface	Opponent in the final	Score in the final
Runner-up	30 August 1993	Umag , Croatia	Clay	Thomas Muster	5–7, 6–3, 3–6
Runner-up	11 October 1993	Athens , Greece	Clay	Jordi Arrese	4–6, 6–3, 3–6
Winner	8 November 1993	São Paulo , Brazil	Clay	Sláva Doseděl	6–4, 6–3
Runner-up	15 November 1993	Buenos Aires , Argentina	Clay	Carlos Costa	6–3, 1–6, 4–6
Winner	18 April 1994	Nice , France	Clay	Jim Courier	6–4, 6–2
Runner-up	23 May 1994	Bologna , Italy	Clay	Javier Sánchez	6–7 (3–7) , 6–4, 3–6
Runner-up	6 June 1994	French Open , Paris, France	Clay	Sergi Bruguera	3–6, 5–7, 6–2, 1–6
Winner	25 July 1994	Stuttgart , Germany	Clay	Andrea Gaudenzi	7–5, 6–3, 7–6 (7–5)
Winner	29 August 1994	Umag , Croatia	Clay	Karol Kučera	6–2, 6–4
Winner	3 October 1994	Palermo , Italy	Clay	Àlex Corretja	2–6, 7–6 (8–6) , 6–4
Winner	10 October 1994	Athens , Greece	Clay	Óscar Martínez	4–6, 7–6 (7–4) , 6–3
Winner	31 October 1994	Santiago , Chile	Clay	Francisco Clavet	6–3, 6–4
Winner	7 November 1994	Montevideo , Uruguay	Clay	Francisco Clavet	6–4, 6–0
Winner	19 June 1995	Porto , Portugal	Clay	Carlos Costa	3–6, 6–3, 6–4
Runner-up	6 November 1995	Montevideo , Uruguay	Clay	Bohdan Ulihrach	2–6, 3–6
Winner	24 June 1996	Bologna , Italy	Clay	Carlos Costa	6–3, 6–4
Winner	29 July 1996	Kitzbühel , Austria	Clay	Àlex Corretja	6–2, 6–4, 6–4
Winner	16 September 1996	Bucharest , Romania	Clay	Carlos Moyà	6–1, 7–6 (7–5)
Runner-up	15 September 1997	Marbella , Spain	Clay	Albert Costa	3–6, 2–6
Winner	6 October 1997	Palermo, Italy	Clay	Dominik Hrbatý	6–4, 6–2
Winner	13 April 1998	Estoril , Portugal	Clay	Thomas Muster	3–6, 6–1, 6–3
Runner-up	20 April 1998	Barcelona , Spain	Clay	Todd Martin	2–6, 6–1, 3–6, 2–6
Runner-up	11 October 1999	Palermo , Italy	Clay	Arnaud di Pasquale	1–6, 3–6
