Town	Fianna Fáil	Fine Gael	Labour Party	Green Party	Total
Ardee	2	2	1	1	9
Arklow	3	1	2	0	9
Athlone	3	3	1	0	9
Athy	1	2	4	0	9
Balbriggan	1	1	3	1	9
Ballina	3	3	0	0	9
Ballinasloe	2	3	0	0	9
Ballybay	4	4	0	0	9
Ballyshannon	2	5	0	0	9
Bandon	4	3	1	0	9
Bantry	5	3	0	0	9
Belturbet	1	3	0	0	9
Birr	4	2	0	0	9
Boyle	2	4	0	0	9
Bray	2	3	3	1	12
Buncrana	2	3	0	0	9
Bundoran	3	2	0	0	9
Carlow	3	3	1	0	9
Carrickmacross	2	3	0	2	9
Carrick-on-Suir	2	1	1	0	9
Cashel	2	2	0	0	9
Castlebar	1	4	1	0	9
Castleblayney	3	2	0	0	9
Cavan	3	4	1	0	9
Clonakilty	2	2	1	0	9
Clones	2	2	0	0	9
Cobh	1	2	3	0	9
Cootehill	3	3	0	0	9
Dundalk	3	2	0	2	12
Dungarvan	2	3	3	0	9
Edenderry	3	2	1	0	9
Ennis	1	3	1	1	9
Enniscorthy	2	2	1	0	9
Fermoy	2	2	2	0	9
Gorey	4	4	1	0	9
Granard	3	2	1	0	9
Greystones	2	4	2	0	9
Kells	3	2	2	0	9
Kilkee	4	4	0	0	9
Killarney	2	1	2	0	9
Kilrush	3	3	0	0	9
Kinsale	2	2	2	1	9
Leixlip	1	3	2	1	9
Letterkenny	4	1	0	0	9
Lismore	3	3	1	0	9
Listowel	3	4	0	0	9
Longford	2	3	0	0	9
Loughrea	3	2	0	0	9
Macroom	3	4	2	0	9
Mallow	1	2	4	0	9
Midleton	1	2	1	0	9
Monaghan	1	3	0	0	9
Mountmellick	3	3	1	0	9
Muine Bheag	3	3	2	0	9
Mullingar	3	2	4	0	9
Naas	1	3	2	0	9
Navan	4	2	0	0	9
Nenagh	2	2	2	0	9
Newbridge	2	2	2	0	9
New Ross	3	2	2	1	9
Passage West	2	3	0	0	9
Portlaoise	2	3	0	0	9
Shannon	0	4	2	0	9
Skibbereen	2	4	2	0	9
Templemore	3	3	0	0	9
Thurles	1	1	2	0	9
Tipperary	3	1	1	0	9
Tralee	2	3	3	0	12
Tramore	1	4	1	0	9
Trim	2	3	2	0	9
Tuam	3	2	2	0	9
Tullamore	4	2	2	0	9
Westport	2	5	1	0	9
Wicklow	1	3	1	1	9
Youghal	3	2	1	1	9
