Round	Finishing Date	Rally Name	Rally Base	Surface	Support Category
1	10–13 February	Rally Sweden	Karlstad	Snow	PWRC
2	3–6 March	Rally Guanajuato Mexico	León	Gravel	SWRC
3	24–27 March	Vodafone Rally de Portugal	Faro	Gravel	PWRC/WRC Academy
4	14–16 April	Jordan Rally	Amman	Gravel	SWRC
5	5–8 May	Rally d'Italia Sardegna	Olbia	Gravel	SWRC/WRC Academy
6	26–29 May	Rally Argentina	Villa Carlos Paz	Gravel	PWRC
7	16–19 June	Acropolis Rally	Loutraki	Gravel	SWRC
8	28–30 July	Neste Oil Rally Finland	Jyväskylä	Gravel	SWRC/PWRC/WRC Academy
9	18–21 August	ADAC Rallye Deutschland	Trier	Asphalt	SWRC/WRC Academy
10	8–11 September	Rally Australia	Coffs Harbour	Gravel	PWRC
11	29 September – 2 October	Rallye de France Alsace	Strasbourg	Asphalt	SWRC/WRC Academy
12	20–23 October	RallyRACC – Rally of Spain	Salou	Asphalt & Gravel	SWRC/PWRC
